original_ligand_id,prepared_ligand_id,challenge_smiles,prepared_smiles,formal_charge,estimated_population,selected_index,selection_reason,smiles_changed_from_challenge,source_sets,source_files
OADMET-0000937,OADMET-0000937,CC1=NC=CC(NCC2=NN3CCN(S(C)(=O)=O)CC3=C2)=N1,Cc1nccc(NCc2cc3n(n2)CCN(S(C)(=O)=O)C3)n1,0,0.615265,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000938,OADMET-0000938,CN1C(=O)C=C(C(=O)NCCCC2=NN=C(N)S2)N(C)C1=O,Cn1c(C(=O)NCCCc2nnc(N)s2)cc(=O)n(C)c1=O,0,0.985791,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000939,OADMET-0000939,CCCN(CCC)C(=O)C1=COC(COC2=CC=C3SC(C)=NC3=C2)=N1,CCCN(CCC)C(=O)c1coc(COc2ccc3sc(C)nc3c2)n1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000940,OADMET-0000940,CCC1=NC(CC2CN(C(=O)CN3C(=O)OC(C)(C)C3=O)CCO2)=NO1,CCc1nc(CC2CN(C(=O)CN3C(=O)OC(C)(C)C3=O)CCO2)no1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000941,OADMET-0000941,COC1=CC=CC(N2C=C(CN(C)C(=O)C3=CNN=C3N3C=NN=N3)C=N2)=C1,COc1cccc(-n2cc(CN(C)C(=O)c3c[nH]nc3-n3cnnn3)cn2)c1,0,0.506678,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000942,OADMET-0000942__pxr_prep,CCC1=CC=C(C2=NNC(C(=O)NCCCC3=NN=NN3)=C2)C=C1,CCc1ccc(-c2cc(C(=O)NCCCc3nnn[n-]3)[nH]n2)cc1,-1,0.511237,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000943,OADMET-0000943,CCC1=NC(CN(C)C(=O)NCC2=NC(C(=O)NC)=NO2)=NO1,CCc1nc(CN(C)C(=O)NCc2nc(C(=O)NC)no2)no1,0,0.976417,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000944,OADMET-0000944,O=C(CCC1=NC2=CC=CC=C2N=C1O)NCC1=NNC(=O)N1,O=C(CCc1nc2ccccc2nc1O)NCc1n[nH]c(=O)[nH]1,0,0.978517,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000945,OADMET-0000945,CNC1=NC(C2=CC=C(C(=O)NCCC3=NNC(=O)N3C)C=C2)=CC(C)=N1,CNc1nc(C)cc(-c2ccc(C(=O)NCCc3n[nH]c(=O)n3C)cc2)n1,0,0.61498,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000946,OADMET-0000946__pxr_prep,CNC(=O)C1=NOC(CN2CCC3(CC2)NC2=C(C=CC=C2)NC3=O)=N1,CNC(=O)c1noc(C[NH+]2CCC3(CC2)Nc2ccccc2NC3=O)n1,1,0.619071,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000947,OADMET-0000947,COC1=CC=C(C2=CN(CCN3NC(=O)C4=CC=CC=C4C3=O)N=N2)C=N1,COc1ccc(-c2cn(CCn3[nH]c(=O)c4ccccc4c3=O)nn2)cn1,0,0.981533,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000948,OADMET-0000948,CC1=C(C(=O)N2CCC(C3=NC=CN3CC(N)=O)CC2)N2C=CC=NC2=N1,Cc1nc2ncccn2c1C(=O)N1CCC(c2nccn2CC(N)=O)CC1,0,0.98226,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000949,OADMET-0000949,CC1=CC(C)=NN1CC(=O)NCC1CCN(C(=O)C2=CSC(N)=N2)CC1,Cc1cc(C)n(CC(=O)NCC2CCN(C(=O)c3csc(N)n3)CC2)n1,0,0.985791,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000950,OADMET-0000950,CC1=NC(C(C)NC(=O)C2=CC=CN2C)=C(C)S1,Cc1nc(C(C)NC(=O)c2cccn2C)c(C)s1,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000951,OADMET-0000951,CC1=NNN=C1C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2C,Cc1n[nH]nc1C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2C,0,0.509821,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000952,OADMET-0000952,FC1=CC2=CC=CN=C2C(C2=CC=C(CN3C=CN=C3)C=C2)=C1,Fc1cc(-c2ccc(Cn3ccnc3)cc2)c2ncccc2c1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000953,OADMET-0000953,CC(C)C1=NOC(C(C)NC(=O)CC2=CNC(=O)N(C)C2=O)=N1,CC(C)c1noc(C(C)NC(=O)Cc2c[nH]c(=O)n(C)c2=O)n1,0,0.987402,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000954,OADMET-0000954,CC1=CC(=O)C=C(C(=O)NCCCC2=CSC(N)=N2)N1,Cc1cc(=O)cc(C(=O)NCCCc2csc(N)n2)[nH]1,0,0.510765,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000955,OADMET-0000955,COC1=CC=CC(C2=NOC(C3=CC=C(C4=CC=C(O)C=C4)N=C3)=N2)=C1OC,COc1cccc(-c2noc(-c3ccc(-c4ccc(O)cc4)nc3)n2)c1OC,0,0.979967,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000956,OADMET-0000956,N#CC1=C(N2CCC(NC(=O)C3CCC(=O)NC(=O)N3)CC2)N=CC=C1,N#Cc1cccnc1N1CCC(NC(=O)C2CCC(=O)NC(=O)N2)CC1,0,0.622712,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000957,OADMET-0000957__pxr_prep,CN(C)CCCOC1=CC=CC(CN2CCN(C3=NC=C(Cl)C=C3)CC2)=C1,C[NH+](C)CCCOc1cccc(C[NH+]2CCN(c3ccc(Cl)cn3)CC2)c1,2,0.986645,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000958,OADMET-0000958__pxr_prep,CNC(=O)C1=CC=C(S(=O)(=O)N[C@H](C(=O)O)C(C)C)C=C1,CNC(=O)c1ccc(S(=O)(=O)N[C@H](C(=O)[O-])C(C)C)cc1,-1,0.996941,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000959,OADMET-0000959,O=C(NCC1=NOC(C2CC2)=C1)C1=CNC2=NC=NN2C1=O,O=C(NCc1cc(C2CC2)on1)c1c[nH]c2ncnn2c1=O,0,0.508252,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000960,OADMET-0000960__pxr_prep,COCCCN1CCCC(C2=NC=CN2CC2CCC2)C1,COCCC[NH+]1CCCC(c2nccn2CC2CCC2)C1,1,0.989879,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000961,OADMET-0000961,CN1C=C(CCCNC(=O)C2CC(=O)N(C3CC3)C2)C=N1,Cn1cc(CCCNC(=O)C2CC(=O)N(C3CC3)C2)cn1,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000962,OADMET-0000962,NS(=O)(=O)C1=CC(NC(=O)NC2COC3(CCCCC3)C2)=C(Cl)C=C1,NS(=O)(=O)c1ccc(Cl)c(NC(=O)NC2COC3(CCCCC3)C2)c1,0,0.997603,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000963,OADMET-0000963__pxr_prep,C1=CN=C(N2C=NC=N2)C(CNCC2=NC(C3=CC=CO3)=NO2)=C1,c1coc(-c2noc(C[NH2+]Cc3cccnc3-n3cncn3)n2)c1,1,0.966878,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000964,OADMET-0000964,CN(C)C1=NC(N)=NC(CNC(=O)C2=CC=C(CCC(C)(C)O)C=C2)=N1,CN(C)c1nc(N)nc(CNC(=O)c2ccc(CCC(C)(C)O)cc2)n1,0,0.613897,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000965,OADMET-0000965,CC1=NON=C1CNC(=O)C1=C2N=CC(CCO)=CN2N=C1,Cc1nonc1CNC(=O)c1cnn2cc(CCO)cnc12,0,0.976417,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000966,OADMET-0000966,CC(C)C(=O)NC1=CC(C(=O)NCC2=NOC(C3=CC=CO3)=N2)=CC=C1,CC(C)C(=O)Nc1cccc(C(=O)NCc2noc(-c3ccco3)n2)c1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000967,OADMET-0000967__pxr_prep,CC1=CC=C2C(C)=C(C(=O)O)OC2=C1C,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-1,0.999333,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000968,OADMET-0000968,CCCSCC1=NC(C2=NN=C(C)C=C2)=NO1,CCCSCc1nc(-c2ccc(C)nn2)no1,0,0.976417,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000969,OADMET-0000969,CC1=NOC(C2=CC=C(S(=O)(=O)NCCCN3C=CN=N3)O2)=C1C,Cc1noc(-c2ccc(S(=O)(=O)NCCCn3ccnn3)o2)c1C,0,0.979951,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000970,OADMET-0000970,CCC1=NN=C(CNC(=O)NC2=CC=CC(NS(=O)(=O)N(C)C)=C2)S1,CCc1nnc(CNC(=O)Nc2cccc(NS(=O)(=O)N(C)C)c2)s1,0,0.985803,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000971,OADMET-0000971__pxr_prep,CC1=CC(C(=O)N[C@@H]2CCN(CC3=NC(C(C)C)=NO3)C[C@H]2O)=NO1,Cc1cc(C(=O)N[C@@H]2CC[NH+](Cc3nc(C(C)C)no3)C[C@H]2O)no1,1,0.97824,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000972,OADMET-0000972,CC(=O)NCCC1CCCCN1S(=O)(=O)CC1=CC=C(Cl)C=C1,CC(=O)NCCC1CCCCN1S(=O)(=O)Cc1ccc(Cl)cc1,0,1.0,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000973,OADMET-0000973,COC(=O)C1=C(C)N=C(N(C)CC2=NOC(C(C)C)=N2)C(C#N)=C1,COC(=O)c1cc(C#N)c(N(C)Cc2noc(C(C)C)n2)nc1C,0,0.615349,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000974,OADMET-0000974,COCC1=NOC(CCNC(=O)NC2=CC=CC3=NSN=C23)=N1,COCc1noc(CCNC(=O)Nc2cccc3nsnc23)n1,0,0.976417,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000975,OADMET-0000975__pxr_prep,CCO[C@H]1CN(C)C[C@@H]1NC(=O)C1=CC(=O)C=C(C)O1,CCO[C@H]1C[NH+](C)C[C@@H]1NC(=O)c1cc(=O)cc(C)o1,1,0.995803,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000976,OADMET-0000976,CS(=O)(=O)NC1=CC(NC(=O)NCC2(O)CCCCC2)=CC=C1,CS(=O)(=O)Nc1cccc(NC(=O)NCC2(O)CCCCC2)c1,0,0.997609,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000977,OADMET-0000977__pxr_prep,O=C(NC1=CC=C(OC2=NN=NN2)C=C1)C1=CC=C(CN2C=CC=N2)O1,O=C(Nc1ccc(Oc2nnn[n-]2)cc1)c1ccc(Cn2cccn2)o1,-1,0.996601,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000978,OADMET-0000978,COC1=CC(N2CCCC(C3=NC4=C(C=CC=C4C)N3)C2)=NC(N)=N1,COc1cc(N2CCCC(c3nc4c(C)cccc4[nH]3)C2)nc(N)n1,0,0.387837,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000979,OADMET-0000979,COC1=CC=C(NC(=O)CCCN2C=NC=N2)C=C1NC(=O)C1=CC=CO1,COc1ccc(NC(=O)CCCn2cncn2)cc1NC(=O)c1ccco1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000980,OADMET-0000980,CC1=NNC(SCC(=O)NC(C2=CC=CC=C2)C2=NN=C(N)S2)=N1,Cc1n[nH]c(SCC(=O)NC(c2ccccc2)c2nnc(N)s2)n1,0,0.506058,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000981,OADMET-0000981,CCC1=NOC(CN(CC)C(=O)NC2=CC(NS(C)(=O)=O)=CC=C2)=N1,CCc1noc(CN(CC)C(=O)Nc2cccc(NS(C)(=O)=O)c2)n1,0,0.985803,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000982,OADMET-0000982,CCC(NC(=O)C1=CN=C(N)S1)C1=NC(C)=CN1,CCC(NC(=O)c1cnc(N)s1)c1nc(C)c[nH]1,0,0.509196,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000983,OADMET-0000983,CC(=O)C1=C(C)N(CC(=O)NCC2=NC(C3=CC=NC=C3)=NN2)N=C1C,CC(=O)c1c(C)nn(CC(=O)NCc2nc(-c3ccncc3)n[nH]2)c1C,0,0.506683,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000984,OADMET-0000984,CN(C)S(=O)(=O)N[C@@H]1CCN(C(=O)C2=COC3=C2C=CC=C3)C[C@H]1O,CN(C)S(=O)(=O)N[C@@H]1CCN(C(=O)c2coc3ccccc23)C[C@H]1O,0,0.997607,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000985,OADMET-0000985,CC1(C2=CC=CC=C2)CCCN(C(=O)CCN2C=CC(=O)NC2=O)C1,CC1(c2ccccc2)CCCN(C(=O)CCn2ccc(=O)[nH]c2=O)C1,0,0.999999,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000986,OADMET-0000986,CC1=C(C(C)NC(=O)C(C)(C)N2C=CC=C2)C=NN1C,Cc1c(C(C)NC(=O)C(C)(C)n2cccc2)cnn1C,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000987,OADMET-0000987,CC(C)CC1=NC(CN(C)S(=O)(=O)C2CCS(=O)(=O)C2)=NO1,CC(C)Cc1nc(CN(C)S(=O)(=O)C2CCS(=O)(=O)C2)no1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000988,OADMET-0000988,CC1=CC(C(=O)N[C@H]2COC[C@H]2CC2=CC(C)=NO2)=CC2=C1N=C(N)S2,Cc1cc(C[C@@H]2COC[C@@H]2NC(=O)c2cc(C)c3nc(N)sc3c2)on1,0,0.985791,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000989,OADMET-0000989,CS(=O)(=O)N1CCC(OC2=C(F)C=CC=C2)CC1,CS(=O)(=O)N1CCC(Oc2ccccc2F)CC1,0,1.0,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000990,OADMET-0000990,CCN1C=C(C2=CC=C(C(=O)NCCCC3=CC(OC)=CC=C3)C=C2)C=N1,CCn1cc(-c2ccc(C(=O)NCCCc3cccc(OC)c3)cc2)cn1,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000991,OADMET-0000991__pxr_prep,O=C(O)C1=NNC=C1CN1CCC(C2=NN=CN2)CC1,O=C([O-])c1n[nH]cc1CN1CCC(c2nnc[nH]2)CC1,-1,0.326504,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000992,OADMET-0000992,CNC(=O)CC1=CC=C(NC(=O)NCC2CCCN(S(C)(=O)=O)C2)C=C1,CNC(=O)Cc1ccc(NC(=O)NCC2CCCN(S(C)(=O)=O)C2)cc1,0,1.0,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000993,OADMET-0000993__pxr_prep,COC1=C(S(=O)(=O)NC2=C(C)N(CC(=O)O)N=C2C)C=CC=C1,COc1ccccc1S(=O)(=O)Nc1c(C)nn(CC(=O)[O-])c1C,-1,0.99694,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000994,OADMET-0000994,COC1=C(OC)C=C(NC(=O)N[C@H]2COC[C@@H]2OC)C=C1,COc1ccc(NC(=O)N[C@H]2COC[C@@H]2OC)cc1OC,0,1.0,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000995,OADMET-0000995,COCCNC(=O)C1=CC(S(=O)(=O)NCCC2=NC=CN=C2)=CC=C1,COCCNC(=O)c1cccc(S(=O)(=O)NCCc2cnccn2)c1,0,0.985801,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000996,OADMET-0000996,COC1=CC=C(C(NS(=O)(=O)C2=CC(C)=C(C)C=C2)[C@@H]2C[C@H](O)C2)C=N1,COc1ccc(C(NS(=O)(=O)c2ccc(C)c(C)c2)[C@H]2C[C@@H](O)C2)cn1,0,0.991686,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000997,OADMET-0000997,COC1=CC=CC(C2=NC=C(CNC(=O)CC3NC(=O)NC3=O)S2)=C1,COc1cccc(-c2ncc(CNC(=O)CC3NC(=O)NC3=O)s2)c1,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0000998,OADMET-0000998__pxr_prep,CCC1=NC=CN1CCCNC(=O)C1=CC=C(C2=CN=CC(C(=O)O)=N2)C=C1,CCc1nccn1CCCNC(=O)c1ccc(-c2cncc(C(=O)[O-])n2)cc1,-1,0.999321,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0000999,OADMET-0000999,CCN(CC1=NC(C(C)C)=NO1)S(=O)(=O)C1=CC(C2=CC=NO2)=CS1,CCN(Cc1nc(C(C)C)no1)S(=O)(=O)c1cc(-c2ccno2)cs1,0,0.98226,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001000,OADMET-0001000__pxr_prep,CCN1C=C(CN(CC)C(=O)NCC2CCN(C)CC2)C=N1,CCN(Cc1cnn(CC)c1)C(=O)NCC1CC[NH+](C)CC1,1,0.989879,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0001001,OADMET-0001001,COCCC1=NOC(C(C)NC(=O)C2=NON=C2C)=N1,COCCc1noc(C(C)NC(=O)c2nonc2C)n1,0,0.976417,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001002,OADMET-0001002,CN(C)C(=O)C1=CC=C(C2=CC=C(C(=O)NCCC3=NOC(CO)=N3)C=C2)O1,CN(C)C(=O)c1ccc(-c2ccc(C(=O)NCCc3noc(CO)n3)cc2)o1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001003,OADMET-0001003,CC(C)C1=NOC(CCNC(=O)CC2=CC=C(N3C=NN=N3)C=C2)=N1,CC(C)c1noc(CCNC(=O)Cc2ccc(-n3cnnn3)cc2)n1,0,0.976399,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001004,OADMET-0001004,O=C1NC2(CCOCC2)C(=O)N[C@H]1CC1=CNC=N1,O=C1NC2(CCOCC2)C(=O)N[C@H]1Cc1c[nH]cn1,0,0.511391,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001005,OADMET-0001005,O=C(CN1C(=O)CNC1=O)N1CCOC2(CCN(C(=O)C3=CC=CO3)CC2)C1,O=C(CN1C(=O)CNC1=O)N1CCOC2(CCN(C(=O)c3ccco3)CC2)C1,0,1.0,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001006,OADMET-0001006,CN(C)S(=O)(=O)N1C[C@@H]2CC[C@H](C1)N(C(=O)CSC1=NC=CC=C1)C2,CN(C)S(=O)(=O)N1C[C@@H]2CC[C@H](C1)N(C(=O)CSc1ccccn1)C2,0,0.994051,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001007,OADMET-0001007__pxr_prep,CCC1=C(CN2CCCC2)C=C(C(=O)NCC2=NC(C3=NC=CN=C3)=NN2)O1,CCc1oc(C(=O)NCc2nc(-c3cnccn3)n[nH]2)cc1C[NH+]1CCCC1,1,0.968751,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0001008,OADMET-0001008,O=C(NCCN1C=NN=N1)C1=NC=CN=C1C(=O)N1CCCCC1,O=C(NCCn1cnnn1)c1nccnc1C(=O)N1CCCCC1,0,0.976399,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001009,OADMET-0001009,CN1C=CN=C1C(NC(=O)CN1N=NN=C1N)C1=CC=CC=C1,Cn1ccnc1C(NC(=O)Cn1nnnc1N)c1ccccc1,0,0.979908,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001010,OADMET-0001010,CCCC1=C(C(=O)N2CCCC(CCC3=CC=C(F)C=C3)C2)SN=N1,CCCc1nnsc1C(=O)N1CCCC(CCc2ccc(F)cc2)C1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001011,OADMET-0001011,CC1=CC(C)=NN1CCCNC(=O)N1CCC(CS(N)(=O)=O)C1,Cc1cc(C)n(CCCNC(=O)N2CCC(CS(N)(=O)=O)C2)n1,0,0.991683,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001012,OADMET-0001012,CC1=NC(C2=CC=C(CNC(=O)CC3C(=O)N(C)C(=O)N3C)C=C2)=NO1,Cc1nc(-c2ccc(CNC(=O)CC3C(=O)N(C)C(=O)N3C)cc2)no1,0,0.988138,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001013,OADMET-0001013,CC(C)CC1=CC(C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(N)=O)=NC(=O)N1,CC(C)Cc1cc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(N)=O)nc(=O)[nH]1,0,0.990965,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001014,OADMET-0001014,O=C(NCCN1N=C(C2=CC=CC=C2)C=CC1=O)C1CCCCN2N=NN=C12,O=C(NCCn1nc(-c2ccccc2)ccc1=O)C1CCCCn2nnnc21,0,0.982241,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001015,OADMET-0001015__pxr_prep,CN1CCN(CC2=CC=C3COC(=O)C4=C3C2=CC=C4)CC1C1=CC=CC=C1,C[NH+]1CC[NH+](Cc2ccc3c4c(cccc24)C(=O)OC3)CC1c1ccccc1,2,0.991623,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0001016,OADMET-0001016,CNS(=O)(=O)C1=CC=C(CCC(=O)NCC2=NC(COC)=NO2)C=C1,CNS(=O)(=O)c1ccc(CCC(=O)NCc2nc(COC)no2)cc1,0,0.985801,1,top_solution_state,False,train,pxr-challenge_TRAIN.csv
OADMET-0001017,OADMET-0001017__pxr_prep,CC1=CSC(NC(=O)C(C)N2CCC3(CC2)C(=O)NCCCN3C)=N1,Cc1csc(NC(=O)C(C)[NH+]2CCC3(CC2)C(=O)NCCC[NH+]3C)n1,2,0.991573,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0001018,OADMET-0001018__pxr_prep,CCCOC1CCCN(CCC2=CNC(=O)N(C)C2=O)C1,CCCOC1CCC[NH+](CCc2c[nH]c(=O)n(C)c2=O)C1,1,0.9958,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
OADMET-0001019,OADMET-0001019__pxr_prep,O=C(CN1CCCCC1=O)NC1=CC=C(OC2=NN=NN2)C=C1,O=C(CN1CCCCC1=O)Nc1ccc(Oc2nnn[n-]2)cc1,-1,0.996621,1,top_solution_state,True,train,pxr-challenge_TRAIN.csv
