standardized_cluster_component,n,standardized_fold,pEC50_minimum,pEC50_median,pEC50_maximum
73,1,0,5.59,5.59,5.59
74,1,1,2.59,2.59,2.59
75,1,0,5.25,5.25,5.25
76,1,2,2.02,2.02,2.02
77,1,0,3.69,3.69,3.69
78,1,0,5.12,5.12,5.12
79,1,1,2.44,2.44,2.44
80,1,4,3.79,3.79,3.79
81,1,1,4.87,4.87,4.87
82,1,4,4.1,4.1,4.1
83,1,1,2.86,2.86,2.86
84,1,4,1.89,1.89,1.89
85,1,4,3.35,3.35,3.35
86,4,3,1.82,2.925,3.91
87,1,4,4.71,4.71,4.71
88,1,3,4.66,4.66,4.66
89,1,0,4.88,4.88,4.88
90,1,0,4.8,4.8,4.8
91,6,1,1.87,2.52,2.96
92,1,1,4.98,4.98,4.98
93,1,4,4.63,4.63,4.63
94,1,3,4.34,4.34,4.34
95,1,1,5.19,5.19,5.19
96,1,4,5.02,5.02,5.02
97,1,4,5.96,5.96,5.96
98,1,3,4.41,4.41,4.41
99,1,3,4.32,4.32,4.32
100,2,1,4.14,4.3100000000000005,4.48
101,1,4,4.4,4.4,4.4
102,4,2,2.94,4.529999999999999,5.52
103,1,3,4.57,4.57,4.57
104,1,4,4.97,4.97,4.97
105,1,0,5.28,5.28,5.28
106,1,3,5.34,5.34,5.34
107,1,2,4.92,4.92,4.92
108,1,3,5.38,5.38,5.38
109,1,4,4.58,4.58,4.58
110,1,3,5.22,5.22,5.22
111,1,3,5.16,5.16,5.16
112,1,3,4.97,4.97,4.97
113,1,0,4.83,4.83,4.83
114,1,0,3.15,3.15,3.15
115,2,0,4.08,4.49,4.9
116,1,3,5.13,5.13,5.13
117,1,0,5.28,5.28,5.28
118,1,2,3.94,3.94,3.94
119,1,2,5.35,5.35,5.35
120,1,0,5.42,5.42,5.42
121,4,0,2.98,4.475,4.745
122,14,3,1.77,2.31,4.81
123,1,0,5.41,5.41,5.41
124,10,2,1.86,3.165,5.28
125,1,1,2.08,2.08,2.08
126,1,1,4.95,4.95,4.95
127,1,4,4.91,4.91,4.91
128,1,2,5.13,5.13,5.13
129,1,4,5.06,5.06,5.06
130,3,3,4.39,4.51,5.0
131,1,3,5.6,5.6,5.6
132,1,1,5.32,5.32,5.32
133,1,2,4.31,4.31,4.31
134,1,1,1.71,1.71,1.71
135,1,2,2.53,2.53,2.53
136,1,4,6.63,6.63,6.63
137,4,2,4.51,4.640000000000001,5.63
138,1,3,3.9,3.9,3.9
139,1,4,4.31,4.31,4.31
140,1,4,1.73,1.73,1.73
141,1,1,5.13,5.13,5.13
142,1,0,4.15,4.15,4.15
143,1,2,4.44,4.44,4.44
144,1,0,2.7,2.7,2.7
145,1,0,4.63,4.63,4.63
146,1,2,4.5,4.5,4.5
147,1,1,4.58,4.58,4.58
148,1,1,3.38,3.38,3.38
149,1,2,3.35,3.35,3.35
150,1,4,4.61,4.61,4.61
151,1,0,1.66,1.66,1.66
152,1,2,3.96,3.96,3.96
153,1,3,2.79,2.79,2.79
154,1,1,5.44,5.44,5.44
155,1,4,3.08,3.08,3.08
156,1,2,4.47,4.47,4.47
157,1,3,4.23,4.23,4.23
158,1,4,4.22,4.22,4.22
159,1,0,5.51,5.51,5.51
160,1,0,5.13,5.13,5.13
161,1,1,1.72,1.72,1.72
162,1,0,5.05,5.05,5.05
163,1,0,5.03,5.03,5.03
164,1,4,5.31,5.31,5.31
165,1,0,5.22,5.22,5.22
166,1,3,3.29,3.29,3.29
167,1,4,5.48,5.48,5.48
168,2,2,5.005,5.0275,5.05
169,1,4,5.45,5.45,5.45
170,2,0,4.81,4.914999999999999,5.02
171,1,4,3.9,3.9,3.9
172,1,4,3.49,3.49,3.49
173,1,3,4.82,4.82,4.82
174,1,0,5.27,5.27,5.27
175,1,3,5.32,5.32,5.32
176,1,0,4.87,4.87,4.87
177,1,0,4.61,4.61,4.61
178,1,4,5.41,5.41,5.41
179,1,3,3.56,3.56,3.56
180,1,1,4.93,4.93,4.93
181,1,3,4.8,4.8,4.8
182,1,3,3.49,3.49,3.49
183,1,4,5.82,5.82,5.82
184,1,2,5.33,5.33,5.33
185,1,3,3.0,3.0,3.0
186,1,3,1.76,1.76,1.76
187,1,3,5.3,5.3,5.3
188,1,0,5.58,5.58,5.58
189,1,0,3.14,3.14,3.14
190,1,1,5.0,5.0,5.0
191,3,2,3.21,5.16,5.18
192,1,4,4.62,4.62,4.62
193,1,1,3.34,3.34,3.34
194,1,0,1.74,1.74,1.74
195,1,1,4.72,4.72,4.72
196,1,2,4.97,4.97,4.97
197,1,4,5.74,5.74,5.74
198,1,2,3.53,3.53,3.53
199,1,4,5.67,5.67,5.67
200,1,2,1.91,1.91,1.91
201,1,0,5.15,5.15,5.15
202,1,1,5.12,5.12,5.12
203,1,0,2.24,2.24,2.24
204,1,1,5.18,5.18,5.18
205,1,1,5.01,5.01,5.01
206,1,2,1.62,1.62,1.62
207,1,2,5.35,5.35,5.35
208,1,3,4.87,4.87,4.87
209,1,0,5.08,5.08,5.08
210,2,3,4.71,4.955,5.2
211,1,2,4.39,4.39,4.39
212,1,2,4.85,4.85,4.85
213,1,1,5.09,5.09,5.09
214,1,0,3.0,3.0,3.0
215,1,0,4.14,4.14,4.14
216,4,3,1.86,2.98,3.37
217,1,4,4.7,4.7,4.7
218,2,0,2.14,3.7750000000000004,5.41
219,1,1,5.64,5.64,5.64
220,1,0,5.29,5.29,5.29
221,1,0,5.12,5.12,5.12
222,1,2,4.3,4.3,4.3
223,5,2,2.08,2.72,3.11
224,1,0,5.29,5.29,5.29
225,1,2,4.84,4.84,4.84
226,1,4,4.53,4.53,4.53
227,1,2,5.18,5.18,5.18
228,1,0,5.23,5.23,5.23
229,1,4,4.61,4.61,4.61
230,1,3,4.2,4.2,4.2
231,1,0,5.04,5.04,5.04
232,1,2,5.12,5.12,5.12
233,1,3,2.68,2.68,2.68
234,1,4,5.61,5.61,5.61
235,1,1,4.87,4.87,4.87
236,2,0,1.95,2.07,2.19
237,2,2,2.92,2.985,3.05
238,1,4,5.24,5.24,5.24
239,1,3,5.16,5.16,5.16
240,1,3,6.41,6.41,6.41
241,1,0,4.59,4.59,4.59
242,1,0,5.56,5.56,5.56
243,1,2,2.28,2.28,2.28
244,1,3,4.12,4.12,4.12
245,1,1,4.9,4.9,4.9
246,1,3,3.13,3.13,3.13
247,1,0,3.88,3.88,3.88
248,1,1,5.09,5.09,5.09
249,1,0,2.01,2.01,2.01
250,1,1,1.94,1.94,1.94
251,1,0,3.89,3.89,3.89
252,3,1,1.76,2.24,2.51
253,1,1,4.16,4.16,4.16
254,1,1,5.09,5.09,5.09
255,1,2,4.82,4.82,4.82
256,1,2,3.67,3.67,3.67
257,1,0,1.82,1.82,1.82
258,1,2,4.84,4.84,4.84
259,1,3,5.75,5.75,5.75
260,1,1,5.09,5.09,5.09
261,4,0,1.81,3.605,4.95
262,1,4,5.835,5.835,5.835
263,1,0,4.29,4.29,4.29
264,1,4,4.6,4.6,4.6
265,1,4,4.31,4.31,4.31
266,1,0,5.12,5.12,5.12
267,1,2,2.69,2.69,2.69
268,1,3,2.3,2.3,2.3
269,1,2,4.34,4.34,4.34
270,1,3,5.16,5.16,5.16
271,1,2,5.14,5.14,5.14
272,1,4,2.91,2.91,2.91
273,2,1,5.35,5.435,5.52
274,1,2,4.71,4.71,4.71
275,1,1,5.29,5.29,5.29
276,1,4,3.93,3.93,3.93
277,1,2,5.2,5.2,5.2
278,1,3,1.87,1.87,1.87
279,1,3,5.29,5.29,5.29
280,1,1,4.55,4.55,4.55
281,2,1,4.0,4.09,4.18
282,1,2,4.83,4.83,4.83
283,1,1,5.45,5.45,5.45
284,1,4,5.61,5.61,5.61
285,1,1,4.4,4.4,4.4
286,1,1,5.975,5.975,5.975
287,1,2,4.75,4.75,4.75
288,1,2,2.89,2.89,2.89
289,1,1,4.16,4.16,4.16
290,1,2,5.31,5.31,5.31
291,1,3,4.76,4.76,4.76
292,1,1,4.69,4.69,4.69
293,2,2,4.67,4.835,5.0
294,1,3,3.09,3.09,3.09
295,1,1,3.58,3.58,3.58
296,1,3,4.04,4.04,4.04
297,1,1,4.36,4.36,4.36
298,1,4,5.27,5.27,5.27
299,1,3,4.11,4.11,4.11
300,2,1,4.88,4.98,5.08
301,1,0,5.22,5.22,5.22
302,1,4,3.11,3.11,3.11
303,1,0,3.62,3.62,3.62
304,1,4,4.9,4.9,4.9
305,1,0,4.83,4.83,4.83
306,1,4,4.93,4.93,4.93
307,1,2,5.06,5.06,5.06
308,1,1,6.140000000000001,6.140000000000001,6.140000000000001
309,2,2,2.83,4.155,5.48
310,1,0,4.4,4.4,4.4
311,1,0,4.51,4.51,4.51
312,1,0,5.53,5.53,5.53
313,1,0,2.31,2.31,2.31
314,1,0,5.22,5.22,5.22
315,1,1,4.98,4.98,4.98
316,1,2,6.58,6.58,6.58
317,1,4,5.44,5.44,5.44
318,1,2,5.45,5.45,5.45
319,1,2,3.97,3.97,3.97
320,1,0,3.73,3.73,3.73
321,1,3,4.97,4.97,4.97
322,1,4,4.98,4.98,4.98
323,1,2,4.73,4.73,4.73
324,2,1,4.12,4.390000000000001,4.66
325,4,2,2.58,3.325,3.63
326,1,0,5.53,5.53,5.53
327,1,4,2.49,2.49,2.49
328,1,2,5.55,5.55,5.55
329,1,1,5.04,5.04,5.04
330,1,4,4.42,4.42,4.42
331,1,4,4.88,4.88,4.88
332,1,3,5.46,5.46,5.46
333,1,4,5.2,5.2,5.2
334,1,0,4.45,4.45,4.45
335,1,2,4.55,4.55,4.55
336,1,3,4.83,4.83,4.83
337,2,1,1.8,2.325,2.85
338,1,2,4.8,4.8,4.8
339,1,1,5.7,5.7,5.7
340,1,2,4.15,4.15,4.15
341,1,3,5.12,5.12,5.12
342,1,1,4.78,4.78,4.78
343,17,1,1.81,3.44,5.06
344,1,1,4.64,4.64,4.64
345,1,3,2.56,2.56,2.56
346,1,4,4.85,4.85,4.85
347,1,3,3.84,3.84,3.84
348,1,1,4.78,4.78,4.78
349,1,4,4.49,4.49,4.49
350,1,1,4.91,4.91,4.91
351,1,3,5.19,5.19,5.19
352,1,2,4.79,4.79,4.79
353,3,1,4.17,4.25,5.11
354,1,3,2.57,2.57,2.57
355,1,3,5.07,5.07,5.07
356,1,3,4.21,4.21,4.21
357,1,1,4.46,4.46,4.46
358,1,3,3.37,3.37,3.37
359,1,1,5.775,5.775,5.775
360,1,3,1.83,1.83,1.83
361,1,4,4.79,4.79,4.79
362,1,2,3.95,3.95,3.95
363,1,0,4.97,4.97,4.97
364,1,4,5.5,5.5,5.5
365,1,2,4.99,4.99,4.99
366,1,3,5.16,5.16,5.16
367,1,0,5.04,5.04,5.04
368,5,3,2.04,4.53,5.88
369,1,0,4.15,4.15,4.15
370,1,0,1.92,1.92,1.92
371,1,3,5.15,5.15,5.15
372,1,3,5.74,5.74,5.74
373,1,0,4.73,4.73,4.73
374,1,1,5.21,5.21,5.21
375,1,1,3.98,3.98,3.98
376,1,0,4.57,4.57,4.57
377,1,3,5.0,5.0,5.0
378,1,4,5.25,5.25,5.25
379,1,3,5.22,5.22,5.22
380,1,4,6.845,6.845,6.845
381,1,4,5.37,5.37,5.37
382,1,2,4.57,4.57,4.57
383,1,2,2.79,2.79,2.79
384,1,1,5.09,5.09,5.09
385,1,3,3.93,3.93,3.93
386,1,2,5.26,5.26,5.26
387,1,3,1.82,1.82,1.82
388,1,1,4.77,4.77,4.77
389,1,1,5.31,5.31,5.31
390,2,0,4.76,4.8149999999999995,4.87
391,1,1,5.11,5.11,5.11
392,1,0,4.61,4.61,4.61
393,1,3,4.96,4.96,4.96
394,1,0,4.38,4.38,4.38
395,1,1,3.29,3.29,3.29
396,1,1,5.52,5.52,5.52
397,1,2,4.63,4.63,4.63
398,1,1,4.71,4.71,4.71
399,11,0,1.67,3.25,4.51
400,1,3,5.44,5.44,5.44
401,1,2,2.57,2.57,2.57
402,1,4,2.56,2.56,2.56
403,1,2,4.99,4.99,4.99
404,1,4,4.21,4.21,4.21
405,1,0,5.27,5.27,5.27
406,1,0,3.92,3.92,3.92
407,1,3,5.39,5.39,5.39
408,1,3,4.21,4.21,4.21
409,2,1,5.03,5.300000000000001,5.57
410,1,3,5.23,5.23,5.23
411,1,2,4.38,4.38,4.38
412,1,3,5.25,5.25,5.25
413,1,2,5.09,5.09,5.09
414,1,2,5.09,5.09,5.09
415,3,2,3.47,3.88,4.48
416,1,3,2.34,2.34,2.34
417,1,0,6.27,6.27,6.27
418,1,1,3.66,3.66,3.66
419,1,3,4.8,4.8,4.8
420,1,2,5.57,5.57,5.57
421,1,0,3.82,3.82,3.82
422,1,3,1.77,1.77,1.77
423,1,0,4.35,4.35,4.35
424,1,1,4.9,4.9,4.9
425,1,2,4.68,4.68,4.68
426,3,3,3.05,4.27,5.23
427,1,4,2.44,2.44,2.44
428,1,0,5.25,5.25,5.25
429,1,2,3.14,3.14,3.14
430,1,3,5.25,5.25,5.25
431,1,2,4.67,4.67,4.67
432,1,4,3.11,3.11,3.11
433,1,3,5.28,5.28,5.28
434,1,0,5.18,5.18,5.18
435,1,2,5.38,5.38,5.38
436,1,2,5.12,5.12,5.12
437,1,4,4.58,4.58,4.58
438,3,3,3.02,3.05,4.73
439,1,3,5.16,5.16,5.16
440,1,1,5.0,5.0,5.0
441,1,3,3.98,3.98,3.98
442,1,4,4.66,4.66,4.66
443,1,0,4.88,4.88,4.88
444,1,2,4.08,4.08,4.08
445,1,4,5.09,5.09,5.09
446,1,3,4.79,4.79,4.79
447,1,1,4.05,4.05,4.05
448,1,0,4.27,4.27,4.27
449,1,1,5.965,5.965,5.965
450,1,1,2.86,2.86,2.86
451,1,1,4.41,4.41,4.41
452,1,4,4.84,4.84,4.84
453,1,0,5.27,5.27,5.27
454,1,0,4.64,4.64,4.64
455,1,4,4.92,4.92,4.92
456,1,3,5.44,5.44,5.44
457,1,0,4.46,4.46,4.46
458,2,3,4.67,4.79,4.91
459,1,2,4.53,4.53,4.53
460,1,1,3.94,3.94,3.94
461,1,1,5.43,5.43,5.43
462,1,3,3.04,3.04,3.04
463,1,4,4.4,4.4,4.4
464,1,4,5.05,5.05,5.05
465,1,0,5.14,5.14,5.14
466,1,1,4.61,4.61,4.61
467,1,4,6.07,6.07,6.07
468,1,2,4.54,4.54,4.54
469,1,3,5.62,5.62,5.62
470,1,4,4.13,4.13,4.13
471,1,1,4.29,4.29,4.29
472,1,1,3.72,3.72,3.72
473,1,2,6.050000000000001,6.050000000000001,6.050000000000001
474,1,2,3.47,3.47,3.47
475,1,4,4.3,4.3,4.3
476,1,1,5.44,5.44,5.44
477,11,2,2.01,3.77,5.36
478,1,4,4.77,4.77,4.77
479,1,0,4.85,4.85,4.85
480,1,3,5.06,5.06,5.06
481,1,1,4.49,4.49,4.49
482,1,1,5.54,5.54,5.54
483,1,4,2.68,2.68,2.68
484,1,3,3.35,3.35,3.35
485,1,1,4.87,4.87,4.87
486,1,2,3.63,3.63,3.63
487,1,2,4.3,4.3,4.3
488,2,1,4.6,4.744999999999999,4.89
489,2,3,4.9,5.26,5.62
490,1,0,4.54,4.54,4.54
491,1,3,4.94,4.94,4.94
492,1,2,5.904999999999999,5.904999999999999,5.904999999999999
493,1,2,5.39,5.39,5.39
494,1,0,5.57,5.57,5.57
495,1,1,4.55,4.55,4.55
496,1,1,5.0,5.0,5.0
497,1,4,4.73,4.73,4.73
498,1,0,4.38,4.38,4.38
499,1,4,5.68,5.68,5.68
500,1,4,5.71,5.71,5.71
501,1,3,4.54,4.54,4.54
502,1,1,4.09,4.09,4.09
503,1,3,5.25,5.25,5.25
504,1,3,5.56,5.56,5.56
505,1,2,3.95,3.95,3.95
506,1,3,2.53,2.53,2.53
507,1,2,4.97,4.97,4.97
508,1,3,5.44,5.44,5.44
509,1,2,5.5,5.5,5.5
510,1,1,4.73,4.73,4.73
511,1,4,4.25,4.25,4.25
512,1,1,4.57,4.57,4.57
513,1,4,5.04,5.04,5.04
514,1,4,5.06,5.06,5.06
515,2,1,3.1,4.105,5.11
516,1,1,4.83,4.83,4.83
517,1,4,3.31,3.31,3.31
518,1,3,4.62,4.62,4.62
519,1,2,4.2,4.2,4.2
520,1,1,2.96,2.96,2.96
521,1,1,4.87,4.87,4.87
522,1,1,4.82,4.82,4.82
523,1,0,3.99,3.99,3.99
524,1,1,4.43,4.43,4.43
525,1,3,4.66,4.66,4.66
526,1,0,5.07,5.07,5.07
527,1,4,1.68,1.68,1.68
528,1,1,4.63,4.63,4.63
529,1,2,2.23,2.23,2.23
530,1,1,2.58,2.58,2.58
531,1,1,4.71,4.71,4.71
532,1,2,5.2,5.2,5.2
533,1,0,5.27,5.27,5.27
534,1,2,3.41,3.41,3.41
535,1,0,4.93,4.93,4.93
536,3,0,2.09,4.89,4.99
537,1,2,3.48,3.48,3.48
538,1,4,3.3,3.3,3.3
539,1,4,5.58,5.58,5.58
540,1,0,5.27,5.27,5.27
541,1,1,4.1,4.1,4.1
542,1,4,5.42,5.42,5.42
543,1,2,5.48,5.48,5.48
544,1,2,4.96,4.96,4.96
545,1,0,1.71,1.71,1.71
546,1,2,4.7,4.7,4.7
547,1,1,5.04,5.04,5.04
548,1,2,5.65,5.65,5.65
549,1,2,4.33,4.33,4.33
550,1,0,4.38,4.38,4.38
551,1,1,2.48,2.48,2.48
552,1,3,4.39,4.39,4.39
553,1,1,5.71,5.71,5.71
554,1,4,4.46,4.46,4.46
555,1,2,5.07,5.07,5.07
556,1,3,5.42,5.42,5.42
557,2,0,3.65,4.315,4.98
558,2,3,2.95,3.2350000000000003,3.52
559,1,0,4.53,4.53,4.53
560,1,3,3.43,3.43,3.43
561,1,2,3.74,3.74,3.74
562,1,1,5.29,5.29,5.29
563,1,0,5.31,5.31,5.31
564,1,2,3.8,3.8,3.8
565,1,4,2.37,2.37,2.37
566,1,2,4.69,4.69,4.69
567,1,1,3.44,3.44,3.44
568,1,2,5.91,5.91,5.91
569,1,0,1.73,1.73,1.73
570,1,3,4.06,4.06,4.06
571,1,4,3.12,3.12,3.12
572,1,4,4.81,4.81,4.81
573,1,1,4.37,4.37,4.37
574,2,0,3.06,4.13,5.2
575,1,2,4.87,4.87,4.87
576,1,0,3.08,3.08,3.08
577,1,1,4.53,4.53,4.53
578,1,4,3.15,3.15,3.15
579,1,4,4.08,4.08,4.08
580,2,1,3.47,4.325,5.18
581,1,4,2.94,2.94,2.94
582,1,1,5.26,5.26,5.26
583,1,3,4.41,4.41,4.41
584,1,0,5.7,5.7,5.7
585,1,2,4.71,4.71,4.71
586,1,3,3.91,3.91,3.91
587,1,3,4.57,4.57,4.57
588,1,1,4.56,4.56,4.56
589,1,0,4.42,4.42,4.42
590,1,4,4.23,4.23,4.23
591,1,2,4.73,4.73,4.73
592,1,2,5.23,5.23,5.23
593,1,1,5.25,5.25,5.25
594,1,4,4.83,4.83,4.83
595,1,2,2.02,2.02,2.02
596,1,0,4.68,4.68,4.68
597,1,2,5.21,5.21,5.21
598,1,2,4.57,4.57,4.57
599,3,0,1.96,2.88,4.09
600,1,2,5.88,5.88,5.88
601,1,3,4.29,4.29,4.29
602,1,3,4.74,4.74,4.74
603,1,1,4.7,4.7,4.7
604,2,2,3.21,3.78,4.35
605,1,4,3.43,3.43,3.43
606,2,3,4.39,4.55,4.71
607,1,2,2.51,2.51,2.51
608,1,0,4.41,4.41,4.41
609,1,4,5.17,5.17,5.17
610,1,4,3.72,3.72,3.72
611,1,1,2.82,2.82,2.82
612,3,1,1.78,4.26,5.15
613,1,1,5.23,5.23,5.23
614,1,4,4.6,4.6,4.6
615,1,4,1.66,1.66,1.66
616,1,0,4.78,4.78,4.78
617,1,4,2.52,2.52,2.52
618,1,0,4.24,4.24,4.24
619,1,1,1.79,1.79,1.79
620,1,4,5.105,5.105,5.105
621,1,4,5.85,5.85,5.85
622,1,1,4.95,4.95,4.95
623,1,1,4.01,4.01,4.01
624,1,2,4.17,4.17,4.17
625,1,2,5.18,5.18,5.18
626,1,0,2.73,2.73,2.73
627,1,1,5.47,5.47,5.47
628,1,2,5.22,5.22,5.22
629,2,2,4.14,4.5,4.86
630,1,0,5.92,5.92,5.92
631,1,0,5.58,5.58,5.58
632,1,1,6.09,6.09,6.09
633,1,1,1.74,1.74,1.74
634,2,1,3.26,3.545,3.83
635,1,0,5.36,5.36,5.36
636,1,1,5.11,5.11,5.11
637,1,3,2.55,2.55,2.55
638,1,4,1.75,1.75,1.75
639,1,4,4.9,4.9,4.9
640,1,2,4.57,4.57,4.57
641,1,2,5.14,5.14,5.14
642,1,3,3.89,3.89,3.89
643,1,0,3.58,3.58,3.58
644,1,4,4.96,4.96,4.96
645,1,1,2.8,2.8,2.8
646,3,3,1.92,3.03,5.16
647,1,2,5.91,5.91,5.91
648,1,3,5.3,5.3,5.3
649,2,2,1.84,2.845,3.85
650,1,2,4.92,4.92,4.92
651,1,3,4.97,4.97,4.97
652,1,0,5.04,5.04,5.04
653,1,0,2.56,2.56,2.56
654,1,1,4.4,4.4,4.4
655,4,1,3.14,4.744999999999999,5.63
656,3,2,1.92,1.95,2.32
657,2,3,5.07,5.195,5.32
658,1,4,4.64,4.64,4.64
659,1,4,5.66,5.66,5.66
660,1,2,2.44,2.44,2.44
661,1,0,5.7,5.7,5.7
662,1,3,4.24,4.24,4.24
663,1,1,3.61,3.61,3.61
664,1,3,4.73,4.73,4.73
665,1,0,4.21,4.21,4.21
666,1,3,4.41,4.41,4.41
667,1,4,3.05,3.05,3.05
668,1,4,5.34,5.34,5.34
669,1,2,5.11,5.11,5.11
670,1,0,3.94,3.94,3.94
671,1,3,5.35,5.35,5.35
672,1,1,5.21,5.21,5.21
673,1,1,3.43,3.43,3.43
674,1,1,1.85,1.85,1.85
675,2,0,2.11,2.4299999999999997,2.75
676,1,0,4.73,4.73,4.73
677,1,0,4.65,4.65,4.65
678,1,1,5.17,5.17,5.17
679,1,2,1.76,1.76,1.76
680,1,3,2.74,2.74,2.74
681,1,1,5.64,5.64,5.64
682,1,1,2.85,2.85,2.85
683,1,3,4.89,4.89,4.89
684,1,0,5.33,5.33,5.33
685,2,0,4.85,5.135,5.42
686,1,1,5.66,5.66,5.66
687,1,4,5.05,5.05,5.05
688,1,1,5.87,5.87,5.87
689,1,1,2.79,2.79,2.79
690,3,1,2.17,2.45,2.5
691,1,2,3.3,3.3,3.3
692,1,1,4.3,4.3,4.3
693,1,3,4.56,4.56,4.56
694,1,3,3.86,3.86,3.86
695,2,3,1.81,2.085,2.36
696,1,4,4.37,4.37,4.37
697,1,1,3.87,3.87,3.87
698,1,3,5.58,5.58,5.58
699,1,2,5.98,5.98,5.98
700,1,2,4.89,4.89,4.89
701,1,4,4.36,4.36,4.36
702,1,1,4.48,4.48,4.48
703,1,3,3.65,3.65,3.65
704,2,3,3.92,3.9899999999999998,4.06
705,1,0,4.98,4.98,4.98
706,1,0,5.67,5.67,5.67
707,1,1,2.45,2.45,2.45
708,1,0,4.64,4.64,4.64
709,2,3,3.67,3.795,3.92
710,1,0,5.68,5.68,5.68
711,1,0,4.82,4.82,4.82
712,1,0,4.68,4.68,4.68
713,1,0,5.78,5.78,5.78
714,1,0,2.67,2.67,2.67
715,1,2,4.63,4.63,4.63
716,1,1,2.92,2.92,2.92
717,1,1,5.49,5.49,5.49
718,1,4,5.25,5.25,5.25
719,1,3,5.16,5.16,5.16
720,1,3,3.31,3.31,3.31
721,1,1,5.49,5.49,5.49
722,1,4,4.99,4.99,4.99
723,1,2,4.81,4.81,4.81
724,1,0,4.95,4.95,4.95
725,1,3,4.59,4.59,4.59
726,1,0,1.86,1.86,1.86
727,1,0,3.38,3.38,3.38
728,1,0,3.73,3.73,3.73
729,1,0,2.44,2.44,2.44
730,1,3,5.45,5.45,5.45
731,1,3,3.87,3.87,3.87
732,1,2,2.9,2.9,2.9
733,1,0,4.73,4.73,4.73
734,1,0,1.88,1.88,1.88
735,1,3,4.13,4.13,4.13
736,1,4,3.29,3.29,3.29
737,1,0,3.81,3.81,3.81
738,1,3,4.45,4.45,4.45
739,2,1,4.01,4.83,5.65
740,1,0,3.56,3.56,3.56
741,1,1,4.95,4.95,4.95
742,1,3,4.05,4.05,4.05
743,1,3,5.880000000000001,5.880000000000001,5.880000000000001
744,1,4,4.67,4.67,4.67
745,1,4,4.8,4.8,4.8
746,1,1,3.64,3.64,3.64
747,1,4,3.53,3.53,3.53
748,1,1,4.39,4.39,4.39
749,1,3,4.91,4.91,4.91
750,1,0,2.97,2.97,2.97
751,1,1,5.11,5.11,5.11
752,1,0,5.18,5.18,5.18
753,1,1,4.76,4.76,4.76
754,1,2,5.23,5.23,5.23
755,1,2,4.38,4.38,4.38
756,2,3,1.98,2.41,2.84
757,1,1,5.13,5.13,5.13
758,1,1,3.29,3.29,3.29
759,1,0,5.44,5.44,5.44
760,1,2,5.22,5.22,5.22
761,1,4,3.42,3.42,3.42
762,1,3,4.4,4.4,4.4
763,1,3,5.02,5.02,5.02
764,1,0,3.05,3.05,3.05
765,1,3,3.78,3.78,3.78
