feature_row,original_id,raw_smiles,rdkit_canonical_smiles,cleaned_smiles,fragment_parent_smiles,charge_parent_smiles,tautomer_parent_smiles,connectivity_inchikey,canonical_formal_charge,fragment_parent_formal_charge,charge_parent_formal_charge,raw_fragment_count,fragment_parent_fragment_count
10,OADMET-0003334,CCN(C(=O)C1=C(C)SC(CC(F)(F)F)=N1)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,CCN(C(=O)c1nc(CC(F)(F)F)sc1C)C12CC3CC(CC(C3)C1)C2,HXJWEJOIHWHYQT,0,0,0,1,1
11,OADMET-0001471,CCOCC(=O)NC1CCN(C2=CC(=O)N(CC)N=C2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,CCOCC(=O)NC1CCN(c2cnn(CC)c(=O)c2)CC1,FMLZXKPGQAASGU,0,0,0,1,1
12,OADMET-0001252,CC1=NNC(SCC(=O)N(C)CC2=NC(C3=CC=NC=C3)=NO2)=N1,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,Cc1n[nH]c(SCC(=O)N(C)Cc2nc(-c3ccncc3)no2)n1,LSJIDMMJFFXEMH,0,0,0,1,1
13,OADMET-0002654,CCCC(C)C1=NNC(NS(=O)(=O)C2=CC=C(C#N)C(Br)=C2)=C1,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,CCCC(C)c1cc(NS(=O)(=O)c2ccc(C#N)c(Br)c2)[nH]n1,OXVAKGJWUUTGGP,0,0,0,1,1
14,OADMET-0003107,COC(=O)C1=C(NC(=O)C(=O)NC2(CC3=CC=C(Cl)C=C3Cl)CCC2)N(C)N=C1,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,COC(=O)c1cnn(C)c1NC(=O)C(=O)NC1(Cc2ccc(Cl)cc2Cl)CCC1,ZTHDSRDJLFTXHB,0,0,0,1,1
15,OADMET-0005931,CC1=CC=CC=C1C1(C(=O)N2CCCC(O)(C3=CNN=N3)C2)CCCC1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,Cc1ccccc1C1(C(=O)N2CCCC(O)(c3c[nH]nn3)C2)CCCC1,OYDWAOGEMLXOFA,0,0,0,1,1
16,OADMET-0003052,CC(C)(NS(C)(=O)=O)C1=CN(C2=CC(Cl)=CC(Cl)=C2)N=N1,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,CC(C)(NS(C)(=O)=O)c1cn(-c2cc(Cl)cc(Cl)c2)nn1,NBKSIZWVZWBNMA,0,0,0,1,1
17,OADMET-0003796,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,FPIPGXGPPPQFEQ,0,0,0,1,1
18,OADMET-0005719,COC(=O)C1=CC(Cl)=CC(C)=C1NC(=O)C1CCCCO1,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,PALMVGOOBLVAKD,0,0,0,1,1
19,OADMET-0003505,O=C1CCCN1CC1=CC=C(NC2=NC=CC(OC3=CC=CC=C3)=N2)C=C1,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,CCXULBUUIBWSSY,0,0,0,1,1
20,OADMET-0005750,O=C(C1=CC=NC=C1F)N1CCN(C2CC2)C2=CC=CC=C21,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,JVDGAKHVFVRQPJ,0,0,0,1,1
21,OADMET-0003210,CC1=CC=CC(N2N=C3CSCC3=C2NC(=O)CC2=CC=CC=C2)=C1,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,QDGYCGFPTJMMMY,0,0,0,1,1
22,OADMET-0003626,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C1=CC=CC(Cl)=C1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,RZTAMFZIAATZDJ,0,0,0,1,1
23,OADMET-0004704,CCC(=O)N(C1=NN=C(SCC2=CC=C(F)C=C2)S1)C1CC1,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,BNVYMBNZHADONN,0,0,0,1,1
24,OADMET-0005275,CC1=CC=CC=C1C(C)C(=O)NCC1=NC=CC(C(F)(F)F)=N1,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,USAAZEFNLONRND,0,0,0,1,1
25,OADMET-0005008,CC1=CSC(C(C)N2CCN(CC(O)C3=CC=C(F)C=C3Cl)CC2)=N1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,KHXGLECBIVVOEH,0,0,0,1,1
26,OADMET-0002008,O=C(NCCCN1CCOCC1)C1COC2=C(C=CC=C2)O1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,AFKPUDOAONZLNQ,0,0,0,1,1
27,OADMET-0002717,CC(C1CC1)N1C=C(NC(=O)NC2CCCOC3=CC(F)=CC=C32)C=N1,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,JDKCOVXYSGJOLF,0,0,0,1,1
28,OADMET-0001202,CCC1=NN=C(CN(CC)C(=O)NC2=CC=C(CC3=NN=C(C)N3)C=C2)O1,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3n[nH]c(C)n3)cc2)o1,NNRQLDZJJJLARJ,0,0,0,1,1
29,OADMET-0002669,CC1(C)OC2=CC(C3=CC=C4COCCC4=C3)=CC=C2NC1=O,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,OAESDRNQJDPPPY,0,0,0,1,1
30,OADMET-0002674,CC1=NC(F)=CC=C1NC(=O)NC1CCCC2=C1N=C(C1=CC=C(F)C=C1)S2,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,XDFOSJLPRLTQAN,0,0,0,1,1
31,OADMET-0004653,COC(=O)C1=CC(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)=CC2=C1C=CN2,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,HTPYTHOGRPKVMZ,0,0,0,1,1
32,OADMET-0005736,CC1=CC=C(S(=O)(=O)NC2=CC=C(OC3=CC=C(C)N=N3)C=C2)C=C1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,GBQOJPIKRLBEMK,0,0,0,1,1
33,OADMET-0002639,CC1=C(CSC2=NN=C3N(C)C4=CC=CC=C4N23)N2C=CC=CC2=N1,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,UPHYKCSROOMEOA,0,0,0,1,1
34,OADMET-0003399,CC(O)CN(C1=CC=CC=C1)S(=O)(=O)N1CCC2=CC=CC=C2C1,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,YMCJMCFXGUKTEN,0,0,0,1,1
35,OADMET-0001043,C1=CN=C(CN2CCC[C@@]3(C4=CCOCC4)COCC[C@H]23)C=C1,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,APNPYVULFHMGTQ,0,0,0,1,1
36,OADMET-0003889,CN1C=CN=C1C1=CC=CC(NC(=O)C2=CC3=CC=CC=C3C(=O)N2)=C1,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,JLVKAGNZNJYDBF,0,0,0,1,1
37,OADMET-0003478,O=C(CC1=CC=CC(F)=C1)NCC(=O)N1CC=C(C2=CNC3=NC=CC=C23)CC1,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,MVJRPLRVGMQACD,0,0,0,1,1
38,OADMET-0001372,O=C(C1=CC=C2OCCN(C(=O)C3=CC4=CC=CN=C4C=C3)CC2=C1)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,O=C(c1ccc2c(c1)CN(C(=O)c1ccc3ncccc3c1)CCO2)N1CCCC1,VDANDQSRKUVMML,0,0,0,1,1
39,OADMET-0001188,C[C@@H]1CC[C@@H](C(=O)N2C[C@H](O)[C@@H](N(C)C)C2)CC1,CN(C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,CN(C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,CN(C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,CN(C)[C@H]1CN(C(=O)[C@H]2CC[C@H](C)CC2)C[C@@H]1O,CC1CCC(C(=O)N2C[C@H](O)[C@@H](N(C)C)C2)CC1,CUHMGLKYYDBKKG,0,0,0,1,1
40,OADMET-0001638,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,ULMWQZARDLXFSH,0,0,0,1,1
41,OADMET-0001468,CCC(C)C(=O)N1CCC2(CC1)N(CC1=CC=CC=C1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CCC(C)C(=O)N1CCC2(CC1)N(Cc1ccccc1)C(=O)CS2(=O)=O,CMMRAUUIJYMBRK,0,0,0,1,1
42,OADMET-0002189,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)O,CCCCN1CCCCC1C(=O)O,YUKQVPZDQNCWOA,0,0,0,1,1
43,OADMET-0003769,CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,OEKWJQXRCDYSHL,0,0,0,1,1
44,OADMET-0002948,O=C(COC1=CC=CC=C1)NC1CCN(C2=CC=CC=C2)C1,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,BBIFCTYZNHAYIA,0,0,0,1,1
