scope,x,y,n,rho
common_support,pEC50,Emax_ratio_SE,3218,-0.8484999798600469
common_support,pEC50,Emax_log2FC_SE,3218,-0.8753757313021059
common_support,pEC50,native_binary_probability,3218,0.3316226407298769
common_support,Emax_ratio,Emax_log2FC,3218,0.6241167813915689
common_support,Emax_ratio,pEC50_standard_error,3218,0.19519856710466152
common_support,Emax_ratio,Emax_ratio_SE,3218,0.6195066021602309
common_support,Emax_ratio,Emax_log2FC_SE,3218,0.2996583346842818
common_support,Emax_ratio,native_binary_probability,3218,-0.014315337367925923
common_support,Emax_log2FC,pEC50_standard_error,3218,-0.065845953432517
common_support,Emax_log2FC,Emax_ratio_SE,3218,0.30542188658184255
common_support,Emax_log2FC,Emax_log2FC_SE,3218,0.21856474580212054
common_support,Emax_log2FC,native_binary_probability,3218,-0.05281333658348344
common_support,pEC50_standard_error,Emax_ratio_SE,3218,0.7999346337750267
common_support,pEC50_standard_error,Emax_log2FC_SE,3218,0.8802177313825061
common_support,pEC50_standard_error,native_binary_probability,3218,-0.30997343687394635
common_support,Emax_ratio_SE,Emax_log2FC_SE,3218,0.8993693663523309
common_support,Emax_ratio_SE,native_binary_probability,3218,-0.25222712062658026
common_support,Emax_log2FC_SE,native_binary_probability,3218,-0.32165476013277877
