record_id,fold,smiles,y_true,MW,heavy_atoms,identity_formal_charge,feature_array_row,source_feature_row,row_id,prepared_smiles,prepared_formal_charge,prepared_is_charged,native_cached,norm_l2,centered_norm_l2,member1_norm_l2,member2_norm_l2,PC1,PC2,PC3,PC4,PC5
nesso_00ffdeb4a5ae34db60a5,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,4.86,286.45900000000006,21,0,13,17,OADMET-0003796,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,0,0,6.276876926422119,18.122812331698462,12.756245094542056,17.29868977752922,5.402930574305753,-8.321975914604662,7.036898041937919,3.9868930634548754,-2.2198893226604373,0.8946583122759106
nesso_012851a15babc0f24b94,0,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,4.86,311.76500000000016,21,0,14,18,OADMET-0005719,COC(=O)c1cc(Cl)cc(C)c1NC(=O)C1CCCCO1,0,0,4.7736968994140625,19.82265660832005,4.081002223260537,18.38345706816191,7.415269464720915,-0.3333720566693567,-1.7451628614506485,0.1371662198179474,2.675669627090209,1.1380053887938915
nesso_013e7d360dd9dcf37a34,0,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,5.74,360.41700000000003,27,0,15,19,OADMET-0003505,O=C1CCCN1Cc1ccc(Nc2nccc(Oc3ccccc3)n2)cc1,0,0,4.791618347167969,17.56883466678838,5.73351113173675,17.01579879631756,4.37339031784072,2.899900668737979,-2.609965977916046,-1.9317611411365951,-2.0843058949449045,-2.2961596620606866
nesso_0173f6e9d9dff0748980,1,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,4.44,297.33299999999997,22,0,16,20,OADMET-0005750,O=C(c1ccncc1F)N1CCN(C2CC2)c2ccccc21,0,0,5.042234897613525,16.475713460774774,2.731026881606052,15.687510004441663,5.0349939326773585,-1.3964252236419044,-0.8092407768363926,-0.556199921476416,-0.6166807426594219,1.3865439513698927
nesso_0176ed6ddb7f5774b92b,4,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,5.3,349.4590000000001,25,0,17,21,OADMET-0003210,Cc1cccc(-n2nc3c(c2NC(=O)Cc2ccccc2)CSC3)c1,0,0,5.033061504364014,17.280009974166575,6.0839589493499,16.923847312649684,3.4902917994655485,-4.971171146658092,2.2531722082965233,-0.5231845683582589,-0.4037634070762199,-1.6481138154960164
nesso_01799c36f36d12605944,1,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,5.88,384.259,25,0,18,22,OADMET-0003626,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0,0,5.575399398803711,21.572818603206862,13.7515033937917,21.283032499000946,3.5240644337664446,-9.067554053005445,8.32094312492288,5.732013448413481,0.7634960496331326,-0.2054265577611632
nesso_017c6482b04ed81527be,2,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,4.75,337.44500000000005,22,0,19,23,OADMET-0004704,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1,0,0,5.627518177032471,16.608157880927074,9.345970821336074,16.407294557750113,2.5751880500312216,-7.244388386497146,5.028883714873465,1.9972630088799543,-1.6500081113693748,0.9967445431009305
nesso_0191f538cb5d18dcbc93,2,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,4.43,323.318,23,0,20,24,OADMET-0005275,Cc1ccccc1C(C)C(=O)NCc1nccc(C(F)(F)F)n1,0,0,5.150721073150635,14.30742715099268,6.495213103217297,13.685109342725955,4.173757774308098,-5.3543814996413825,2.287679177892748,-1.1283268170943934,-1.2426431369982511,0.051917412939333774
nesso_0196d9d3e6d1cac52135,1,Cc1csc(C(C)N2CCN(CC(O)c3ccc(F)cc3Cl)CC2)n1,4.57,383.92000000000013,25,0,21,25,OADMET-0005008,Cc1csc(C(C)[NH+]2CC[NH+](CC(O)c3ccc(F)cc3Cl)CC2)n1,2,1,5.075448989868164,21.940727923140898,12.572045035626278,20.311267858028526,8.297465865956433,10.55795976764915,-5.10713182710472,1.2368090870439947,-2.1410241928206974,0.5851878921784829
nesso_019c81eb619218d5bb65,2,O=C(NCCCN1CCOCC1)C1COc2ccccc2O1,2.27,306.362,22,0,22,26,OADMET-0002008,O=C(NCCC[NH+]1CCOCC1)C1COc2ccccc2O1,1,1,4.617992401123047,24.390083460319563,10.656347183155393,22.54558283346063,9.304454089355216,8.204472947194187,-5.571703188377596,1.6631203587158332,2.611254598486427,0.38862106095840787
nesso_01c65989fac6e0cf4e57,3,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,5.54,358.41700000000003,26,0,23,27,OADMET-0002717,CC(C1CC1)n1cc(NC(=O)NC2CCCOc3cc(F)ccc32)cn1,0,0,5.464383602142334,15.07866886588482,3.9510856321714956,14.2563575745912,4.911468565755086,-0.3723450211730108,-1.4672122691820684,-0.7876666586790078,-1.8497008261480736,2.5281247070929105
nesso_01d2efbfa0009bd4b228,4,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,2.49,369.4290000000001,27,0,24,28,OADMET-0001202,CCc1nnc(CN(CC)C(=O)Nc2ccc(Cc3nnc(C)[nH]3)cc2)o1,0,0,4.942677021026611,17.512533030054833,4.321945728731381,16.14257745943815,6.790140358991176,2.496351775675291,-2.938695464940978,-0.6100173752604174,-0.2796891506081609,1.2172517874755586
nesso_01e3e98fbc449062cd1c,3,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,3.36,309.365,23,0,25,29,OADMET-0002669,CC1(C)Oc2cc(-c3ccc4c(c3)CCOC4)ccc2NC1=O,0,0,5.257198333740234,16.206658147668485,7.430170269830475,15.873210677421833,3.270619376443975,-6.106215794037903,3.5736201347754415,-0.054556734674237106,-1.3053051798650221,-1.336058608405109
nesso_01ff8805d67f116e8b3b,1,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,5.28,400.45400000000006,28,0,26,30,OADMET-0002674,Cc1nc(F)ccc1NC(=O)NC1CCCc2sc(-c3ccc(F)cc3)nc21,0,0,5.204460620880127,16.162104103109815,5.680502543600325,15.656373767020316,4.011429858182389,-5.061421269092855,1.995245482199712,-0.3728783979259014,0.00427880049569207,0.473419368533328
nesso_020daf20250e1ed79249,0,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,4.72,399.36900000000014,28,0,27,31,OADMET-0004653,COC(=O)c1cc(NC(=O)N2CC(C(F)(F)F)OC(C)(C)C2)cc2[nH]ccc12,0,0,5.514037132263184,15.705408628522909,5.634611492029189,15.08567834014806,4.368314229364635,-3.6475490203817147,0.9511455375856507,0.7333159387040588,-1.2316940021215377,3.7043800467356274
nesso_020e8719a714d45dbca9,1,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,5.46,355.4190000000001,25,0,28,32,OADMET-0005736,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(C)nn3)cc2)cc1,0,0,5.165524482727051,15.601467579373347,7.180705079389141,15.188089939737074,3.567592271083559,-6.03956016031265,3.3024869793943763,-0.3194008673272517,-1.251552300164895,-0.8202221820208125
nesso_0217a28a0058194c0e21,3,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,3.52,348.435,25,0,29,33,OADMET-0002639,Cc1nc2ccccn2c1CSc1nnc2n(C)c3ccccc3n12,0,0,5.412693500518799,15.571101856238274,6.777761128585107,15.231455775190488,3.23449655831681,-5.274528200839542,2.5452167302428443,0.5790115604478785,-2.1063834032007165,1.887178481521571
nesso_024f48233e10c7c93853,4,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,5.3,346.4520000000001,24,0,30,34,OADMET-0003399,CC(O)CN(c1ccccc1)S(=O)(=O)N1CCc2ccccc2C1,0,0,4.913562297821045,18.415822178954404,3.532173456947857,17.80648584132542,4.698038793959273,0.5276642593107623,-1.8714791526152164,-0.4535522490147966,-0.2771017689453522,0.1382263159161174
nesso_02515970249133cc7bb7,0,C1=C([C@@]23CCCN(Cc4ccccn4)[C@H]2CCOC3)CCOC1,3.76,314.42900000000014,23,0,31,35,OADMET-0001043,C1=C([C@@]23CCC[NH+](Cc4ccccn4)[C@H]2CCOC3)CCOC1,1,1,4.880999565124512,19.21895726784041,3.6752832553456205,18.041407944225384,6.623889933650532,1.6232176947850463,-2.4771875754468433,0.002697277567399528,1.260039653669932,0.7659095397015362
nesso_026d85acd7c184bbb117,3,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,4.89,344.3740000000001,26,0,32,36,OADMET-0003889,Cn1ccnc1-c1cccc(NC(=O)c2cc3ccccc3c(=O)[nH]2)c1,0,0,5.182182788848877,18.82281445912563,9.649737048785312,18.490792539158733,3.519791959258498,-7.278056873463834,5.43072338574769,1.6701570936874188,0.30214484076578974,-2.3959899684223434
nesso_02801b59924f1d32d1b8,2,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,1.83,392.43400000000014,29,0,33,37,OADMET-0003478,O=C(Cc1cccc(F)c1)NCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,0,0,4.9016876220703125,18.11994818580616,5.089947668928794,15.716121175265876,9.018650534346,0.5095985713244603,-2.860988229338666,-1.4468191684725396,2.4959237360385247,1.5689204574454303
nesso_0299796dc6ed1475b183,3,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,2.28,308.42200000000014,22,0,34,40,OADMET-0001638,C=CC(=O)N1CCC(C(=O)NCC(C)(O)C2CCCC2)CC1,0,0,4.809133529663086,22.345701605220043,8.686264290928174,20.913690095157623,7.870701800553712,6.657925321900493,-4.777256336557457,1.179392264302239,1.3564774123106322,0.7510996811335348
nesso_02bbf8b456100947256a,3,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,4.12,522.5780000000002,36,0,35,43,OADMET-0003769,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0,0,5.401930332183838,15.070713162737942,4.348620427567603,14.328897815584888,4.6700195528551385,-3.1099915125951743,0.013272602069529238,-1.1330937640533936,-0.7780749097335591,1.8495860576848304
nesso_02efc6361d297e769ab8,4,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,4.64,296.37,22,0,36,44,OADMET-0002948,O=C(COc1ccccc1)NC1CCN(c2ccccc2)C1,0,0,4.571466445922852,18.72848180112143,4.721630710772401,16.75968407923378,8.358769056458868,0.24151384439589804,-2.62159219054543,-2.1404771666581563,2.777432573009728,-0.7345190328904438
nesso_02f82ec61ca846bf3645,3,Cc1ccc2c(C)c(C(=O)O)oc2c1C,3.13,204.225,15,0,37,45,OADMET-0000967,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-1,1,4.808388710021973,15.625016363167092,5.368037637498146,14.673483940599649,5.369358005777186,-3.9264840883099303,0.7403605652074032,-2.29783301878758,0.2863240781292923,-1.577126170251454
nesso_030dc4795f3b2e2b36e6,0,CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,5.19,360.5270000000002,25,0,38,47,OADMET-0002808,CC(C)Cn1c(CC(C)(O)c2ccccc2)nnc1N1CCSCC1,0,0,5.201016426086426,15.88092516549069,6.049127744282926,15.575056124700119,3.1018399095306135,-5.054248238706532,2.300053160957837,-0.8026790250053288,-1.4653567123527496,-0.8201782447946372
nesso_0319007d6c267bb9ec45,1,COc1ccc2oc(C)c(C(=O)NCC3(N(C)C)Cc4ccccc4C3)c2c1,5.2,378.47200000000015,28,0,39,48,OADMET-0004803,COc1ccc2oc(C)c(C(=O)NCC3([NH+](C)C)Cc4ccccc4C3)c2c1,1,1,5.221038818359375,15.3902486768627,3.301680678479599,14.893120885409829,3.880039256018382,-0.8180516785783876,-0.8951090534625923,-0.6792189423011579,-2.1838320249367613,1.5111488798956372
nesso_032647d983b7b2c21755,3,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,4.69,399.41300000000035,28,0,40,49,OADMET-0006004,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,0,0,5.268304824829102,18.804781079577943,5.833813215325304,16.9695453106751,8.10273555040501,2.2659633534534627,-3.1399653170526634,0.8186009740338847,1.0378546005423197,3.8609012165406384
nesso_032c04da44a0ec8f135c,1,O=C(NCCc1c[nH]c2c(Cl)cccc12)C(F)(F)c1cccnc1,4.93,349.76800000000003,24,0,41,50,OADMET-0005208,O=C(NCCc1c[nH]c2c(Cl)cccc12)C(F)(F)c1cccnc1,0,0,4.777422904968262,17.17010460573614,4.057404262089053,15.602240951592895,7.168163604463768,0.6369154557086272,-2.617250831141755,-2.2781448904599806,0.9445791725545674,-0.35102810462255896
nesso_0330e2bb871c93545cb9,1,O=C(NCCc1c[nH]c2ccccc12)c1ccc(-n2cnnn2)cc1,3.41,332.367,25,0,42,51,OADMET-0001984,O=C(NCCc1c[nH]c2ccccc12)c1ccc(-n2cnnn2)cc1,0,0,4.873115062713623,17.49853805234997,4.922753468921938,15.735773486495468,7.654035977916895,-3.0699037061657863,-0.2405145116524621,-1.200656707465682,2.6315384141049014,0.8048636968592373
nesso_033f138490596d2a9e29,4,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,2.78,201.56499999999997,13,0,43,52,OADMET-0002148,O=C([O-])c1ccc(Cl)c([N+](=O)[O-])c1,-1,1,5.256470680236816,16.932225935466676,5.142372429641348,16.531118025991603,3.663661002388988,-0.05780957447570713,0.3766561114455821,0.739333896315967,-3.3471926895350506,-0.5236938774050975
nesso_0342a4fec815b477aaee,1,Cc1ccccc1-n1ncc(C(=O)NS(=O)(=O)c2ccccc2)c1C(F)(F)F,5.12,409.38900000000007,28,0,44,53,OADMET-0002687,Cc1ccccc1-n1ncc(C(=O)NS(=O)(=O)c2ccccc2)c1C(F)(F)F,0,0,5.141376972198486,17.17576062720109,8.156251040568222,16.953637110756976,2.75335102006174,-6.018397048108038,3.5906186205783897,-0.7073524074774657,-0.34209998646906004,-3.309226113570099
nesso_03715a91a15cbf3645cd,4,CCc1nc(NC(=O)NC(CO)CC(O)c2ccccc2)sc1C(C)(C)C,5.09,391.53700000000015,27,0,45,54,OADMET-0002800,CCc1nc(NC(=O)NC(CO)CC(O)c2ccccc2)sc1C(C)(C)C,0,0,5.347880840301514,17.119811105850406,9.513195857040932,16.860165073092308,2.9703141261619312,-7.233061586519428,5.31765216325122,1.191104706438458,-0.9319841385331261,-1.948554066542303
nesso_0373990e427e9e846d45,1,COc1ccc(-n2nnnc2CNC(C)(C)c2cccc(C#N)c2)cc1,5.54,348.4100000000001,26,0,46,55,OADMET-0005525,COc1ccc(-n2nnnc2C[NH2+]C(C)(C)c2cccc(C#N)c2)cc1,1,1,4.92415189743042,16.672326031943282,4.534012281746855,16.016500861704145,4.630135577112618,-3.484902337594087,0.4028409833928237,-2.0170761533275967,0.6785223811771441,-1.3663511792077103
nesso_037d16c532c0baafa2a8,1,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1,4.42,393.40700000000004,29,0,47,56,OADMET-0006031,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1,0,0,5.040078163146973,20.679036258730758,8.128632615820123,19.699897367450617,6.287812362166476,6.407990745002387,-3.7670715932966043,1.6484335745922687,-1.0860066684731517,1.4094192981339526
nesso_03826ea12b9402384789,1,O=C1CCN(C(=O)c2cccc(S(=O)(=O)N3CCCCCC3)c2)c2cnccc2N1,4.77,428.51400000000024,30,0,48,57,OADMET-0005315,O=C1CCN(C(=O)c2cccc(S(=O)(=O)N3CCCCCC3)c2)c2cnccc2N1,0,0,5.024097442626953,18.788713212838033,5.63225670207685,17.618190100162103,6.528025872254534,3.7401112504718896,-3.617955424499473,-0.06750380400188022,-0.30902442772072697,1.401934527699794
nesso_038af1e376e4d8ba5b95,2,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.0,284.408,20,1,49,58,OADMET-0003560,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,1,1,5.638484954833984,16.395774215795843,9.341469530644453,16.053812559055665,3.3311431152177082,-7.131037715006342,4.923830824112015,1.7561036761241433,-2.1555435360992368,0.4776747829437642
nesso_03c11776c28ec94f56c7,1,CCn1ccnc1C1CCCCN1C(=O)c1ccc2[nH]c(C)c(C)c2c1,6.470000000000001,350.46600000000007,26,0,50,59,OADMET-0003397,CCn1ccnc1C1CCCCN1C(=O)c1ccc2[nH]c(C)c(C)c2c1,0,0,5.387584686279297,14.56851506392851,6.399328036799255,14.182991918708202,3.329319960858333,-5.3960345737778805,2.3618060036524176,-0.6712926153912808,-1.58005526014369,0.8366179091400247
nesso_03f74b7627e28feacbc4,3,COc1ncc(C)cc1NC(=O)c1ccc(N2CCC(C)CC2)nc1,4.66,340.4270000000001,25,0,51,61,OADMET-0005014,COc1ncc(C)cc1NC(=O)c1ccc(N2CCC(C)CC2)nc1,0,0,5.258775234222412,16.413535678210934,4.207207934909696,15.949440041236281,3.8755020101803686,-3.6224844164169303,0.8479599950840098,-0.3898456794155543,-0.5114975786812107,1.060139946725123
nesso_040e1cf62f3a4de7fb6f,0,O=C(O)[C@@H](S)[C@@H](S)C(=O)O,2.01,182.222,10,0,52,63,OADMET-0003748,O=C([O-])[C@@H](S)[C@@H](S)C(=O)[O-],-2,1,4.937189102172852,21.789608119327024,11.067141805873321,21.23524896673937,4.883771423238067,-7.422852920968996,5.88808244018189,2.7375804153242553,2.2967653562743795,-3.561544798903486
nesso_04142bdec5df0bc585a1,2,C=CC(=O)N1CCC(C(=O)NCc2cc3c(cc2OC)OCO3)C1,2.79,332.35600000000017,24,0,53,64,OADMET-0001615,C=CC(=O)N1CCC(C(=O)NCc2cc3c(cc2OC)OCO3)C1,0,0,4.854742050170898,19.115052742737856,5.070200730572478,17.428356667821806,7.850963330499082,2.397126790186418,-3.5988309136959975,-0.7806729670453646,1.6950791595840091,1.2386413872645095
nesso_042ad2513e1686c56e2e,4,CCOc1cccc(CCC(=O)N2CCCNC(=O)[C@@H]2CC)c1,5.035,318.41700000000003,23,0,54,65,OADMET-0002910,CCOc1cccc(CCC(=O)N2CCCNC(=O)[C@@H]2CC)c1,0,0,4.717690467834473,22.343091122698002,8.81569703234717,20.450245254821525,9.0000661072481,6.646566616605271,-4.843930438855635,0.7354810698133412,2.1763209830790515,0.5946892919606165
nesso_043d40bf4102f26688d6,3,O=C(O)c1cc2ccccc2cc1O,3.04,188.182,14,0,55,66,OADMET-0002228,O=C([O-])c1cc2ccccc2cc1O,-1,1,4.890040874481201,25.369441080801213,14.083788585157142,24.665604746483126,5.9343477520712655,-8.290621926658991,7.426981986602405,5.149302118725721,4.390364604013171,-3.483846839356084
nesso_04646ee5e59068fb95de,0,C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,3.43,369.4210000000001,27,0,56,67,OADMET-0001775,C=CC(=O)N(C)CC(=O)N1CCCC(NC(=O)c2cc3ccccc3o2)C1,0,0,4.792555809020996,16.80385094194514,3.9891361115646724,15.543841355555472,6.384230759647865,-2.567930817958329,-0.5352143893261259,-2.129113055941215,1.35461794733789,-0.65186235695036
nesso_047d96a04678588b2540,4,Fc1cc(-c2ccc(Cn3ccnc3)cc2)c2ncccc2c1,3.99,303.34000000000003,23,0,57,68,OADMET-0000952,Fc1cc(-c2ccc(Cn3ccnc3)cc2)c2ncccc2c1,0,0,5.401900768280029,16.964048353342974,9.32927174086295,16.605242040719983,3.470572474918818,-7.2679952579784715,5.189504970313173,1.8851901600956245,-1.2405175638625205,-0.15646089093393012
nesso_047e49e07a88399011fc,2,CC1CCCN(c2cc(C(=O)N3CCCc4cc(C#N)ccc43)ccn2)C1,6.01,360.461,27,0,58,69,OADMET-0003434,CC1CCCN(c2cc(C(=O)N3CCCc4cc(C#N)ccc43)ccn2)C1,0,0,6.125406742095947,19.655536039245835,12.312870464213294,19.475227538057286,2.656239697577576,-8.169229579905855,6.792040637384984,4.970393295853732,-0.7131672746399826,2.687715691710064
nesso_04a0abbb4ac420dee418,2,Cc1cc(NC(=O)NCc2cccc(Oc3ccccc3F)c2)n(C2CCS(=O)(=O)C2)n1,5.14,458.5150000000002,32,0,59,70,OADMET-0005667,Cc1cc(NC(=O)NCc2cccc(Oc3ccccc3F)c2)n(C2CCS(=O)(=O)C2)n1,0,0,5.259031772613525,17.42339551489379,6.925999601239446,16.990496105862523,3.859760788584114,-5.744181996247595,3.0768739903694193,0.23202110413639265,0.976103089993725,-0.7016799153183434
