feature_row,original_id,identity_canonical_smiles,prepared_smiles,pEC50,role,nearest_development_similarity,nearest_development_id,nearest_development_smiles,nearest_development_pEC50
62,OADMET-0002170,O=C(O)C1CCCCC1,O=C([O-])C1CCCCC1,2.19,lockbox_primary,0.3,OADMET-0002087,NC1CCCCCC1,2.69
71,OADMET-0001977,COc1cccc2cc(C(=O)N3CCC(C)CC3)c(=O)oc12,COc1cccc2cc(C(=O)N3CCC(C)CC3)c(=O)oc12,5.42,lockbox_primary,0.38235294117647056,OADMET-0005463,COc1ccc(Cl)cc1C(=O)N1CCC(Oc2cccc(F)c2)CC1,5.34
72,OADMET-0005785,CC(NC(=O)N1CCC[C@H]1CN1CCOCC1)c1nc(Cc2ccccc2)no1,CC(NC(=O)N1CCC[C@H]1C[NH+]1CCOCC1)c1nc(Cc2ccccc2)no1,4.57,lockbox_primary,0.43243243243243246,OADMET-0002776,O=C(Cc1nc(Cc2ccccc2)no1)N1CCCC1c1ccccc1,5.22
79,OADMET-0005072,Cc1ccccc1C(NC(=O)c1nccnc1C)C(C)(C)C,Cc1ccccc1C(NC(=O)c1nccnc1C)C(C)(C)C,5.06,excluded_initial_emax,0.375,OADMET-0003322,Cc1cccnc1C(NC(=O)c1csc2cncn12)C(C)(C)C,6.23
80,OADMET-0005506,CCC(C)n1nc(NC(=O)C2CNC(=O)c3ccccc32)cc1C,CCC(C)n1nc(NC(=O)C2CNC(=O)c3ccccc32)cc1C,5.18,lockbox_primary,0.4084507042253521,OADMET-0003260,CCC(C)n1nc(NC(=O)NCc2nc(C)c(C)s2)cc1C,5.98
84,OADMET-0001983,O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)N1CCc2ccccc2C1,O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)N1CCc2ccccc2C1,4.91,lockbox_primary,0.5833333333333334,OADMET-0002291,O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,4.27
85,OADMET-0005661,CC1(C)CNC(=O)C1NCc1nc(C(F)(F)F)n2c1CCCC2,CC1(C)CNC(=O)C1[NH2+]Cc1nc(C(F)(F)F)n2c1CCCC2,5.08,lockbox_primary,0.47692307692307695,OADMET-0004906,Cc1cccnc1NCc1nc(C(F)(F)F)n2c1CCCC2,5.1
87,OADMET-0003593,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CC[NH+](CC)CC4)ccc3OCC)[nH]n12,4.31,lockbox_primary,0.5569620253164557,OADMET-0003570,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,4.65
88,OADMET-0000939,CCCN(CCC)C(=O)c1coc(COc2ccc3sc(C)nc3c2)n1,CCCN(CCC)C(=O)c1coc(COc2ccc3sc(C)nc3c2)n1,4.76,lockbox_primary,0.2911392405063291,OADMET-0001292,Cc1nc2cc(C(=O)N3CC(Oc4ccccc4Cl)C3)ccc2s1,3.68
98,OADMET-0002203,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,O=C([O-])c1cc(-c2ccccc2)nc2ccccc12,4.08,lockbox_primary,0.6,OADMET-0002328,Cc1ccc(-c2cc(C(=O)O)c3ccccc3n2)o1,3.31
103,OADMET-0003950,Cc1cc(N2CCCC(c3n[nH]c(-c4ccccc4)n3)C2)ncn1,Cc1cc(N2CCCC(c3n[nH]c(-c4ccccc4)n3)C2)ncn1,5.05,lockbox_primary,0.3333333333333333,OADMET-0003405,Cc1cc(C(=O)NC2CCN(c3ccccn3)C2)ncn1,2.42
107,OADMET-0001862,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,O=C(COc1ccc(Cl)cc1)N1CC[NH+](Cc2ccc3c(c2)OCO3)CC1,3.27,lockbox_primary,0.4807692307692308,OADMET-0002056,c1cc2c(cc1CN1CCNCC1)OCO2,2.82
110,OADMET-0001176,Cc1ccc2nc(CN3CCN(C)C(c4ccccc4)C3)[nH]c2c1C,Cc1ccc2nc(C[NH+]3CC[NH+](C)C(c4ccccc4)C3)[nH]c2c1C,4.47,lockbox_primary,0.38028169014084506,OADMET-0001015,CN1CCN(Cc2ccc3c4c(cccc24)C(=O)OC3)CC1c1ccccc1,4.0
112,OADMET-0002997,OCC1(NCc2cc(O)cc(Cl)c2)CCCc2ccccc21,OCC1([NH2+]Cc2cc(O)cc(Cl)c2)CCCc2ccccc21,5.25,lockbox_primary,0.3188405797101449,OADMET-0005859,O=C(c1cccc(NCc2cc(O)cc(Cl)c2)c1)N1CCOCC1,4.4
117,OADMET-0000951,Cc1n[nH]nc1C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2C,Cc1n[nH]nc1C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2C,3.33,lockbox_primary,0.3050847457627119,OADMET-0001828,Cc1nsc(C=O)c1C(=O)N1CCC2(CCCC2)CC1,4.3
134,OADMET-0003800,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)[C@H](C)[N-][P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,4.48,lockbox_primary,0.3577981651376147,OADMET-0003740,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,1.86
137,OADMET-0002620,CC12CC(CN1C(=O)NCc1ccccc1-c1ccc(Cn3cccn3)cc1)C2,CC12CC(CN1C(=O)NCc1ccccc1-c1ccc(Cn3cccn3)cc1)C2,5.42,lockbox_primary,0.3684210526315789,OADMET-0001667,C=CC(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,4.56
144,OADMET-0005529,COc1cc(C(=O)NC2CCCN(c3ccccn3)C2)cc2c1OC(C)C2,COc1cc(C(=O)NC2CCCN(c3ccccn3)C2)cc2c1OC(C)C2,5.3,lockbox_primary,0.4722222222222222,OADMET-0003405,Cc1cc(C(=O)NC2CCN(c3ccccn3)C2)ncn1,2.42
145,OADMET-0005991,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1,4.65,lockbox_primary,0.4025974025974026,OADMET-0004069,COc1ccc2[nH]nc(NC(=O)c3ccn(-c4ccc(F)cc4F)n3)c2c1,4.26
151,OADMET-0001507,Cc1cc(C=O)c(C)n1-c1ccc(F)c(F)c1F,Cc1cc(C=O)c(C)n1-c1ccc(F)c(F)c1F,4.61,excluded_initial_emax,0.26785714285714285,OADMET-0001502,Cc1cccc2cc(C=O)c(Oc3ccc(F)cc3)nc12,4.57
153,OADMET-0005187,CC(N[C@@H](Cc1ccccc1)C(=O)N(C)c1ccccc1)c1cccnc1,CC([NH2+][C@@H](Cc1ccccc1)C(=O)N(C)c1ccccc1)c1cccnc1,5.2,lockbox_primary,0.45161290322580644,OADMET-0002651,CC1CC1CNC(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)c1ccccc1,5.57
155,OADMET-0005111,CCN(CC(=O)Nc1ccccc1OC)CC1CCC2(COC2)O1,CC[NH+](CC(=O)Nc1ccccc1OC)CC1CCC2(COC2)O1,5.19,lockbox_primary,0.3559322033898305,OADMET-0001944,CCN(CC)CC(=O)Nc1c(C)cccc1C,3.13
156,OADMET-0002909,CC(C)N(C(=O)c1n[nH]c2ccccc2c1=O)c1ccc(Cl)cc1,CC(C)N(C(=O)c1n[nH]c2ccccc2c1=O)c1ccc(Cl)cc1,4.78,lockbox_primary,0.36231884057971014,OADMET-0003219,CC(C)(C)OC(=O)N1CCC12CN(C(=O)c1n[nH]c3ccccc3c1=O)C2,5.17
160,OADMET-0005410,O=C(NCCOc1cccc(C(F)(F)F)n1)c1ccnc(NC(=O)C2CC2)c1,O=C(NCCOc1cccc(C(F)(F)F)n1)c1ccnc(NC(=O)C2CC2)c1,5.15,lockbox_primary,0.42857142857142855,OADMET-0003095,O=C(Nc1cc(C(=O)N2Cc3cccc(O)c3C2)ccn1)C1CC1,4.77
188,OADMET-0003333,CC1(Cc2cccs2)CCCN1C(=O)Cn1nnc2c1CCCC2,CC1(Cc2cccs2)CCCN1C(=O)Cn1nnc2c1CCCC2,5.44,lockbox_primary,0.35526315789473684,OADMET-0002930,CC1(Cc2ccc(F)cc2)CCCN1C(=O)COc1cccnc1,5.53
192,OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CC[NH2+]C1,5.08,excluded_initial_emax,0.379746835443038,OADMET-0005721,Cc1ccc(-n2cnnc2SCC(=O)N2CCc3ccccc32)cc1Cl,5.02
195,OADMET-0002697,Cc1ccc(SCC(F)(F)F)c(NC(=O)C(=O)N(C)CCN2CCCC2=O)c1,Cc1ccc(SCC(F)(F)F)c(NC(=O)C(=O)N(C)CCN2CCCC2=O)c1,5.36,lockbox_primary,0.25882352941176473,OADMET-0004349,Cc1sc(NC(=O)c2ccc(CN3CCCCC3=O)cc2)c(C(N)=O)c1C,4.1
199,OADMET-0005027,O=S(=O)(Nc1cn(CC(F)(F)F)cn1)c1cccc2c1OCCC2,O=S(=O)(Nc1cn(CC(F)(F)F)cn1)c1cccc2c1OCCC2,5.69,lockbox_primary,0.36486486486486486,OADMET-0004747,O=C(NCc1nccn1CC(F)(F)F)c1cccc2c1OCC2,4.69
200,OADMET-0005522,CCC(C)NC(=O)C1CSCN1C(=O)c1ccc2c(c1)S(=O)(=O)N(C(C)C)C2=O,CCC(C)NC(=O)C1CSCN1C(=O)c1ccc2c(c1)S(=O)(=O)N(C(C)C)C2=O,5.37,lockbox_primary,0.36470588235294116,OADMET-0002821,CCN1C(=O)c2ccc(C(=O)N3CC(C(C)C)Cc4cc(OC)ccc43)cc2S1(=O)=O,5.52
202,OADMET-0005186,COc1ccccc1-c1cn(Cc2nc3c(o2)CCCC3)nn1,COc1ccccc1-c1cn(Cc2nc3c(o2)CCCC3)nn1,4.4,lockbox_primary,0.5245901639344263,OADMET-0002538,COc1ccccc1-c1cn(Cc2nc(C(C)(C)C)cs2)nn1,5.835
210,OADMET-0004056,CCC(CC)n1nc(C)cc1C(=O)Nc1nc(-c2c[nH]c(C(N)=O)c2)cs1,CCC(CC)n1nc(C)cc1C(=O)Nc1nc(-c2c[nH]c(C(N)=O)c2)cs1,4.92,lockbox_primary,0.4507042253521127,OADMET-0002795,COC(=O)c1cc(-c2csc(NC(=O)c3ccc(OC)cc3)n2)c[nH]1,5.029999999999999
212,OADMET-0005602,CC(C)c1nn(-c2ccccc2)cc1CNC(=O)c1cccn(C)c1=O,CC(C)c1nn(-c2ccccc2)cc1CNC(=O)c1cccn(C)c1=O,4.47,lockbox_primary,0.410958904109589,OADMET-0004004,Cc1nn(-c2ccccc2)cc1CNC(=O)c1cc(-c2ccncc2)nc2ccccc12,5.15
213,OADMET-0005643,CNC(=O)Cn1cc(NCc2cccc(-c3ccc(C)cc3)c2)cn1,CNC(=O)Cn1cc(NCc2cccc(-c3ccc(C)cc3)c2)cn1,4.29,lockbox_primary,0.37662337662337664,OADMET-0001121,CNC(=O)Cn1cc(-c2cccc(C(=O)NCCN3CCCOC3=O)c2)cn1,2.84
218,OADMET-0005545,CC1CCN(C(=O)Nc2cnn(C(F)F)c2)CC12CCC2,CC1CCN(C(=O)Nc2cnn(C(F)F)c2)CC12CCC2,5.43,lockbox_primary,0.39705882352941174,OADMET-0001647,C=CC(=O)N1CCC(C(=O)Nc2cnn(C(C)C3CC3)c2)CC1,3.33
219,OADMET-0005664,COCc1nn(Cc2nc(N)c3c4c(sc3n2)CCCC4)c(=O)o1,COCc1nn(Cc2nc(N)c3c4c(sc3n2)CCCC4)c(=O)o1,5.28,lockbox_primary,0.44,OADMET-0005535,COc1ccc(C(=O)OCc2nc(N)c3c4c(sc3n2)CCCC4)cc1O,5.23
250,OADMET-0003463,C[C@H]1C[C@H](NC(=O)C2(c3ccc(F)cc3F)CCC2)c2ccsc2S1(=O)=O,C[C@H]1C[C@H](NC(=O)C2(c3ccc(F)cc3F)CCC2)c2ccsc2S1(=O)=O,5.14,lockbox_primary,0.25316455696202533,OADMET-0002699,Cn1c(C(=O)NS(=O)(=O)c2ccc(F)cc2F)cc2ccsc21,5.22
256,OADMET-0005709,Cc1cccc2c1OC(C(=O)NS(=O)(=O)c1ccc3c(c1)CCCC3)C2,Cc1cccc2c1OC(C(=O)NS(=O)(=O)c1ccc3c(c1)CCCC3)C2,4.95,lockbox_primary,0.3968253968253968,OADMET-0005911,O=S(=O)(NC1CC(O)C12CCC2)c1ccc2c(c1)CCCC2,5.23
258,OADMET-0003140,NC(=O)c1ccccc1Oc1ccc(NC(=O)c2ccc3nc(C(F)(F)F)cn3c2)cc1,NC(=O)c1ccccc1Oc1ccc(NC(=O)c2ccc3nc(C(F)(F)F)cn3c2)cc1,1.84,lockbox_primary,0.3125,OADMET-0001923,O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,3.4
259,OADMET-0003747,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,5.28,lockbox_primary,0.6119402985074627,OADMET-0003625,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,6.21
262,OADMET-0000957,CN(C)CCCOc1cccc(CN2CCN(c3ccc(Cl)cn3)CC2)c1,C[NH+](C)CCCOc1cccc(C[NH+]2CCN(c3ccc(Cl)cn3)CC2)c1,3.56,lockbox_primary,0.4153846153846154,OADMET-0001083,CN(C)CCOc1ccc(CN2CCN(Cc3nccn3C)CC2)cc1,3.46
264,OADMET-0005755,O=C(c1ccc2[nH]ncc2c1)N1CCCC(C(=O)N2CCC3(C2)Oc2ccccc2O3)C1,O=C(c1ccc2[nH]ncc2c1)N1CCCC(C(=O)N2CCC3(C2)Oc2ccccc2O3)C1,4.69,lockbox_primary,0.3333333333333333,OADMET-0006004,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,4.69
269,OADMET-0005746,Cc1ccc(Br)cc1Cc1noc(CN2CCCCC(O)C2=O)n1,Cc1ccc(Br)cc1Cc1noc(CN2CCCCC(O)C2=O)n1,5.46,excluded_initial_emax,0.32926829268292684,OADMET-0003303,CC(=O)N1CCCN(Cc2nc(-c3ccc(F)c(C)c3)no2)c2ccccc21,5.62
276,OADMET-0005213,CC(C)[C@H](C(=O)Nc1ccncc1F)N1Cc2ccccc2C1=O,CC(C)[C@H](C(=O)Nc1ccncc1F)N1Cc2ccccc2C1=O,5.15,lockbox_primary,0.38571428571428573,OADMET-0005728,C[C@H](C(=O)N1CCCCc2cccnc21)N1Cc2ccccc2C1=O,4.9
280,OADMET-0005638,COCCn1nnnc1NC(=O)C1CCc2ccccc2C1,COCCn1nnnc1NC(=O)C1CCc2ccccc2C1,4.84,excluded_initial_emax,0.3375,OADMET-0001289,COc1ccc2c(c1)CC(C(=O)NCc1nnnn1-c1ccccc1)CO2,4.21
281,OADMET-0003208,CCOC1CC(N(C)CC(=O)Nc2nccs2)C12CCCCC2,CCOC1CC([NH+](C)CC(=O)Nc2nccs2)C12CCCCC2,5.13,lockbox_primary,0.35,OADMET-0005951,CCOC1CC(NC(=O)c2ccnc(-n3cccn3)c2)C12CCCC2,4.8
282,OADMET-0001680,Cc1nn(-c2ccccc2)c(Oc2ccc(Br)cc2)c1C=O,Cc1nn(-c2ccccc2)c(Oc2ccc(Br)cc2)c1C=O,4.31,lockbox_primary,0.4528301886792453,OADMET-0001513,Cc1nn(-c2ccccc2)c(Sc2ccc(Cl)cc2)c1C=O,4.98
284,OADMET-0005672,O=C(Nc1cccc(F)c1F)NC1CCCN(C2CCCCC2)C1=O,O=C(Nc1cccc(F)c1F)NC1CCCN(C2CCCCC2)C1=O,4.92,lockbox_primary,0.5238095238095238,OADMET-0003363,O=C(NC1CCN(C2CCCCC2)C1=O)N[C@]1(c2ccccc2F)C[C@@H](F)C1,5.84
293,OADMET-0002896,COc1ccccc1-c1n[nH]c(NC(=O)c2cc(-c3cnn(C)c3)ccc2F)c1C,COc1ccccc1-c1n[nH]c(NC(=O)c2cc(-c3cnn(C)c3)ccc2F)c1C,5.42,excluded_initial_emax,0.3707865168539326,OADMET-0003476,COc1ccccc1-c1nn(C)cc1C(=O)N[C@@H](C)c1ccc(-n2cccn2)c(F)c1,4.79
294,OADMET-0001880,O=C(NCc1ccccn1)c1ccc2ccccc2n1,O=C(NCc1ccccn1)c1ccc2ccccc2n1,3.86,lockbox_primary,0.475,OADMET-0002207,O=C(O)c1ccc2ccccc2n1,2.89
295,OADMET-0003201,COc1ccccc1C(CO)NC(=O)c1ccccc1CNC(=O)OC(C)(C)C,COc1ccccc1C(CO)NC(=O)c1ccccc1CNC(=O)OC(C)(C)C,5.71,lockbox_primary,0.34285714285714286,OADMET-0003033,CC(C)c1ccccc1NC(=O)[C@H]1C[C@H]1CNC(=O)OC(C)(C)C,5.16
306,OADMET-0001197,CN(Cc1ccc(CN2CC[C@@H](N)[C@H](O)C2)o1)S(C)(=O)=O,CN(Cc1ccc(C[NH+]2CC[C@@H]([NH3+])[C@H](O)C2)o1)S(C)(=O)=O,2.68,lockbox_primary,0.29577464788732394,OADMET-0001259,Cc1ccc(CN2CCC(CNC(=O)c3n[nH]nc3C)CC2)o1,2.88
313,OADMET-0001160,Nc1nnc(CNC(=O)Nc2cc(C(=O)N3CCCC3)ccc2Cl)s1,Nc1nnc(CNC(=O)Nc2cc(C(=O)N3CCCC3)ccc2Cl)s1,3.31,lockbox_primary,0.4411764705882353,OADMET-0001048,COCCOc1ccccc1NC(=O)NCc1nnc(N)s1,2.97
318,OADMET-0003535,CC1C(=O)Nc2cc(-c3nc(-c4ccc(N5CCCC5)nc4)no3)ccc2N1C,CC1C(=O)Nc2cc(-c3nc(-c4ccc(N5CCCC5)nc4)no3)ccc2N1C,2.62,lockbox_primary,0.4852941176470588,OADMET-0002682,CCn1cc(-c2nc(-c3ccc(N4CCCCC4)nc3)no2)cn1,2.42
320,OADMET-0003508,CC(C)(C(=O)Nc1cc(C2CCOCC2)[nH]n1)c1cccc(Cl)c1F,CC(C)(C(=O)Nc1cc(C2CCOCC2)[nH]n1)c1cccc(Cl)c1F,5.23,lockbox_primary,0.2926829268292683,OADMET-0005231,O=C(Nc1cc(C2CCOCC2)on1)NC(CCO)c1ccc(Cl)c(Cl)c1,4.81
323,OADMET-0001545,Nc1c(C=O)c(=O)[nH]c(=O)n1-c1ccc(Cl)cc1,Nc1c(C=O)c(=O)[nH]c(=O)n1-c1ccc(Cl)cc1,1.69,lockbox_primary,0.2909090909090909,OADMET-0001513,Cc1nn(-c2ccccc2)c(Sc2ccc(Cl)cc2)c1C=O,4.98
326,OADMET-0005949,Cn1cccc1C1CCCCN1C(=O)CCN1C(=O)COc2ccccc21,Cn1cccc1C1CCCCN1C(=O)CCN1C(=O)COc2ccccc21,5.28,lockbox_primary,0.4533333333333333,OADMET-0002725,Cn1cccc1C1CCCCN1C(=O)CNC(=O)c1cc2ccccc2[nH]1,5.35
334,OADMET-0003002,Cn1nc(CNC(=O)Nc2cccnc2-c2ccccc2)cc1C1CC1,Cn1nc(CNC(=O)Nc2cccnc2-c2ccccc2)cc1C1CC1,5.38,lockbox_primary,0.4857142857142857,OADMET-0002558,Cn1nc(CNC(=O)[C@H]2COCC[C@H]2c2ccccc2)cc1C1CC1,4.57
338,OADMET-0001204,O=C(CCCn1ccnc1)N1CCC(Cc2ccc(F)cc2)CC1,O=C(CCCn1ccnc1)N1CCC(Cc2ccc(F)cc2)CC1,5.33,excluded_initial_emax,0.41935483870967744,OADMET-0003410,O=C(CCc1ccncc1)N1CCC(Cc2ccccc2)C1,2.28
339,OADMET-0005438,Cc1cc(NC(=O)c2cccc(C)c2Cl)n(-c2ccccc2)n1,Cc1cc(NC(=O)c2cccc(C)c2Cl)n(-c2ccccc2)n1,4.63,lockbox_primary,0.4098360655737705,OADMET-0005597,Cc1cc(NC(=O)c2ccc(Cl)c3cccnc23)n(C)n1,4.77
342,OADMET-0005493,CN(Cc1ccnn1-c1ccc(F)cc1)CC(O)Cc1ccccc1,C[NH+](Cc1ccnn1-c1ccc(F)cc1)CC(O)Cc1ccccc1,5.13,lockbox_primary,0.2898550724637681,OADMET-0003445,CC(C)C(Cc1ccc(F)cc1)N(C)C(=O)Cc1ncccc1F,5.21
344,OADMET-0002986,Cn1ccnc(N2CCN(S(=O)(=O)c3ccccc3)CC2)c1=O,Cn1ccnc(N2CCN(S(=O)(=O)c3ccccc3)CC2)c1=O,4.6,lockbox_primary,0.38333333333333336,OADMET-0006048,CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1,4.99
346,OADMET-0004388,O=C(Cc1cc2ccccc2[nH]c1=O)Nc1ccc2[nH]nnc2c1,O=C(Cc1cc2ccccc2[nH]c1=O)Nc1ccc2[nH]nnc2c1,4.24,lockbox_primary,0.4444444444444444,OADMET-0004092,O=C(Nc1ccc2[nH]nnc2c1)c1csc2ccccc12,4.9
347,OADMET-0004280,CCC(=O)N1CCCC(C(=O)Nc2nc(-c3ccccc3)co2)C1,CCC(=O)N1CCCC(C(=O)Nc2nc(-c3ccccc3)co2)C1,5.0,lockbox_primary,0.37662337662337664,OADMET-0001969,O=C(Nc1ccc(Cl)cc1)C1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,4.27
350,OADMET-0001795,C=CC(=O)Nc1ccc(C(=O)NCC2(C3=CCOCC3)CCC2)cc1,C=CC(=O)Nc1ccc(C(=O)NCC2(C3=CCOCC3)CCC2)cc1,3.81,lockbox_primary,0.49230769230769234,OADMET-0001771,C=CC(=O)Nc1ccc(C(=O)NCCOC2(C)CCOCC2)cc1,3.87
356,OADMET-0005322,Cn1c(C2C(C3CC3)CCN2c2nccc(C#N)c2Cl)n[nH]c1=O,Cn1c(C2C(C3CC3)CCN2c2nccc(C#N)c2Cl)n[nH]c1=O,4.88,lockbox_primary,0.38461538461538464,OADMET-0005508,Cn1c(C2C(C3CC3)CCN2C(=O)c2nc(C3CC3)n3ccccc23)n[nH]c1=O,5.34
358,OADMET-0005485,COc1ccccc1C1CN(C(=O)c2ccc(CCF)cc2)CCN1,COc1ccccc1C1CN(C(=O)c2ccc(CCF)cc2)CC[NH2+]1,4.61,lockbox_primary,0.35135135135135137,OADMET-0003353,COc1ccccc1C1CCN(C(=O)c2nccc3cccnc23)C1,5.64
362,OADMET-0003250,CCC1CN(S(=O)(=O)c2ccccc2S(N)(=O)=O)c2cccc(Cl)c2O1,CCC1CN(S(=O)(=O)c2ccccc2S(N)(=O)=O)c2cccc(Cl)c2O1,5.06,lockbox_primary,0.4032258064516129,OADMET-0002953,CCc1ccc2c(c1)CCN2S(=O)(=O)c1ccccc1S(N)(=O)=O,5.25
366,OADMET-0005993,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O,5.08,excluded_initial_emax,0.4,OADMET-0004814,CC1NC(c2nc(C3(c4ccncc4)CCC3)no2)=NN(c2ccccc2)C1=O,4.83
372,OADMET-0001135,Cc1ncn(C)c1C(=O)N1CCN(CC(=O)N2CCCC2)CC1,Cc1ncn(C)c1C(=O)N1CC[NH+](CC(=O)N2CCCC2)CC1,2.22,lockbox_primary,0.38596491228070173,OADMET-0001921,COc1ccc(C(=O)N2CCN(CC(=O)N3CCOCC3)CC2)cc1,1.84
